n0071
Sat Sep 19 04:17:53 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= AntCost k_epochs 5
env=AntCost
state_dim=113
action_dim=8
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:505.8127997901004 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 505.8127997901004 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=-69.8688, vl_pi= 0.7849687 beta_penalty= 20549.059 lambda_mean= [0.6950487] VC_mean= [0.5785565] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1549, vl_pi= 0.80659497 beta_penalty= 21197.848 lambda_mean= [0.6952873] VC_mean= [0.5506932] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1293, vl_pi= 0.78551036 beta_penalty= 20565.31 lambda_mean= [0.6952873] VC_mean= [0.54868203] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.5936, vl_pi= 0.79658777 beta_penalty= 20897.633 lambda_mean= [0.6952873] VC_mean= [0.55785435] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.6726, vl_pi= 0.7840763 beta_penalty= 20522.287 lambda_mean= [0.6952873] VC_mean= [0.5604243] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.1064, vl_pi= 0.77337617 beta_penalty= 20201.285 lambda_mean= [0.6952873] VC_mean= [0.553841] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.3210, vl_pi= 0.7407638 beta_penalty= 19222.912 lambda_mean= [0.6955528] VC_mean= [0.5597402] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.2285, vl_pi= 0.7540297 beta_penalty= 19620.89 lambda_mean= [0.6955528] VC_mean= [0.56700855] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.2995, vl_pi= 0.73278034 beta_penalty= 18983.41 lambda_mean= [0.6955528] VC_mean= [0.56926316] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.0992, vl_pi= 0.6981143 beta_penalty= 17943.428 lambda_mean= [0.6955528] VC_mean= [0.56436455] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.3945, vl_pi= 0.69318897 beta_penalty= 17795.668 lambda_mean= [0.6955528] VC_mean= [0.5665306] d= [0.1]
FAC | warm_start_active=False, vs_mean=-84.9824, vl_pi= 0.8243378 beta_penalty= 21730.133 lambda_mean= [0.69595295] VC_mean= [0.6052221] d= [0.1]
FAC | warm_start_active=False, vs_mean=-82.9960, vl_pi= 0.806397 beta_penalty= 21191.91 lambda_mean= [0.69595295] VC_mean= [0.6069221] d= [0.1]
FAC | warm_start_active=False, vs_mean=-79.3507, vl_pi= 0.7838585 beta_penalty= 20515.754 lambda_mean= [0.69595295] VC_mean= [0.60327953] d= [0.1]
FAC | warm_start_active=False, vs_mean=-77.4743, vl_pi= 0.7819671 beta_penalty= 20459.012 lambda_mean= [0.69595295] VC_mean= [0.6012161] d= [0.1]
FAC | warm_start_active=False, vs_mean=-75.3894, vl_pi= 0.7808358 beta_penalty= 20425.074 lambda_mean= [0.69595295] VC_mean= [0.6020721] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.1257, vl_pi= 0.69357085 beta_penalty= 17807.125 lambda_mean= [0.6952535] VC_mean= [0.5556822] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.8912, vl_pi= 0.6777402 beta_penalty= 17332.205 lambda_mean= [0.6952535] VC_mean= [0.5580605] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.1587, vl_pi= 0.6680211 beta_penalty= 17040.63 lambda_mean= [0.6952535] VC_mean= [0.562823] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.1692, vl_pi= 0.6645919 beta_penalty= 16937.756 lambda_mean= [0.6952535] VC_mean= [0.55961525] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.2095, vl_pi= 0.6666689 beta_penalty= 17000.066 lambda_mean= [0.6952535] VC_mean= [0.56209403] d= [0.1]
FAC | warm_start_active=False, vs_mean=-71.3882, vl_pi= 0.6627178 beta_penalty= 16881.533 lambda_mean= [0.69549286] VC_mean= [0.56250006] d= [0.1]
FAC | warm_start_active=False, vs_mean=-71.7470, vl_pi= 0.660043 beta_penalty= 16801.29 lambda_mean= [0.69549286] VC_mean= [0.56109476] d= [0.1]
FAC | warm_start_active=False, vs_mean=-72.2762, vl_pi= 0.66005313 beta_penalty= 16801.594 lambda_mean= [0.69549286] VC_mean= [0.56101847] d= [0.1]
FAC | warm_start_active=False, vs_mean=-72.9992, vl_pi= 0.6471627 beta_penalty= 16414.879 lambda_mean= [0.69549286] VC_mean= [0.5548209] d= [0.1]
FAC | warm_start_active=False, vs_mean=-73.8152, vl_pi= 0.64897966 beta_penalty= 16469.389 lambda_mean= [0.69549286] VC_mean= [0.5578584] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.3391, vl_pi= 0.6555093 beta_penalty= 16665.277 lambda_mean= [0.6951655] VC_mean= [0.55532885] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.4590, vl_pi= 0.64956796 beta_penalty= 16487.04 lambda_mean= [0.6951655] VC_mean= [0.5554687] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.4545, vl_pi= 0.6403807 beta_penalty= 16211.42 lambda_mean= [0.6951655] VC_mean= [0.5521742] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.4556, vl_pi= 0.64425665 beta_penalty= 16327.699 lambda_mean= [0.6951655] VC_mean= [0.55586004] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.9629, vl_pi= 0.64191043 beta_penalty= 16257.3125 lambda_mean= [0.6951655] VC_mean= [0.5581583] d= [0.1]
FAC | warm_start_active=False, vs_mean=-69.4335, vl_pi= 0.6870182 beta_penalty= 17610.545 lambda_mean= [0.69529486] VC_mean= [0.565479] d= [0.1]
FAC | warm_start_active=False, vs_mean=-69.1034, vl_pi= 0.67679316 beta_penalty= 17303.795 lambda_mean= [0.69529486] VC_mean= [0.5630973] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.1731, vl_pi= 0.6643459 beta_penalty= 16930.377 lambda_mean= [0.69529486] VC_mean= [0.5644745] d= [0.1]
