2026-03-09 13:55:52,689 - INFO - Ep 30 | Reward: 11.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.158 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 13:55:52,717 - INFO - Ep 31 | Reward: 8.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.167 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:55:52,728 - INFO - Ep 32 | Reward: 5.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.176 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:52,781 - INFO - Ep 33 | Reward: 13.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.185 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 13:55:52,792 - INFO - Ep 34 | Reward: 4.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.194 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 13:55:52,833 - INFO - Ep 35 | Reward: 10.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.203 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 13:55:52,861 - INFO - Ep 36 | Reward: 8.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.212 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:55:52,883 - INFO - Ep 37 | Reward: 7.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.221 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 13:55:52,924 - INFO - Ep 38 | Reward: 9.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.230 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:55:52,949 - INFO - Ep 39 | Reward: 6.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.239 | Reward Term: 2.950 | Optimized: Reward
