n0050
Sun Sep 20 10:28:19 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 101 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
ch, vs_mean, vl_pi, beta penalty= 0 0.16185671091079712 0.8412948846817017 19238.84765625
ch, vs_mean, vl_pi, beta penalty= 0 0.14308683574199677 0.8440802693367004 19322.408203125
ch, vs_mean, vl_pi, beta penalty= 0 0.14034651219844818 0.845587968826294 19367.638671875
ch, vs_mean, vl_pi, beta penalty= 0 0.16091154515743256 0.8307995200157166 18923.986328125
ch, vs_mean, vl_pi, beta penalty= 0 0.18959856033325195 0.8355068564414978 19065.205078125
ch, vs_mean, vl_pi, beta penalty= 0 0.20243367552757263 0.8364276885986328 19092.830078125
ch, vs_mean, vl_pi, beta penalty= 0 0.22375743091106415 0.8495678901672363 19487.037109375
ch, vs_mean, vl_pi, beta penalty= 0 0.21975184977054596 0.8685160875320435 20055.482421875
ch, vs_mean, vl_pi, beta penalty= 0 0.23624970018863678 0.9071424007415771 21214.271484375
ch, vs_mean, vl_pi, beta penalty= 0 0.251302570104599 0.9781069755554199 23343.208984375
ch, vs_mean, vl_pi, beta penalty= 0 0.2554370164871216 1.0509802103042603 25529.40625
ch, vs_mean, vl_pi, beta penalty= 0 0.26162806153297424 1.0150995254516602 24452.986328125
ch, vs_mean, vl_pi, beta penalty= 0 0.2547975778579712 1.0175107717514038 24525.32421875
ch, vs_mean, vl_pi, beta penalty= 0 0.2461574673652649 1.0013654232025146 24040.962890625
ch, vs_mean, vl_pi, beta penalty= 0 0.23373669385910034 0.9715745449066162 23147.236328125
ch, vs_mean, vl_pi, beta penalty= 0 0.2178490161895752 0.9683514833450317 23050.544921875
ch, vs_mean, vl_pi, beta penalty= 0 0.21412889659404755 0.9444944262504578 22334.833984375
ch, vs_mean, vl_pi, beta penalty= 0 0.19335277378559113 0.9420039653778076 22260.119140625
ch, vs_mean, vl_pi, beta penalty= 0 0.19597116112709045 0.9299513101577759 21898.5390625
ch, vs_mean, vl_pi, beta penalty= 0 0.20237484574317932 0.9243683815002441 21731.052734375
ch, vs_mean, vl_pi, beta penalty= 0 0.204147607088089 0.9152364730834961 21457.09375
ch, vs_mean, vl_pi, beta penalty= 0 0.20785130560398102 0.9163433909416199 21490.302734375
ch, vs_mean, vl_pi, beta penalty= 0 0.23940788209438324 0.9185475707054138 21556.427734375
ch, vs_mean, vl_pi, beta penalty= 0 0.24688732624053955 0.9067014455795288 21201.04296875
ch, vs_mean, vl_pi, beta penalty= 0 0.25730079412460327 0.9060839414596558 21182.51953125
ch, vs_mean, vl_pi, beta penalty= 0 0.2676297128200531 0.902129590511322 21063.888671875
ch, vs_mean, vl_pi, beta penalty= 0 0.26222604513168335 0.8976594805717468 20929.78515625
ch, vs_mean, vl_pi, beta penalty= 0 0.2764647603034973 0.9433979392051697 22301.939453125
ch, vs_mean, vl_pi, beta penalty= 0 0.2884904146194458 0.9314287900924683 21942.86328125
ch, vs_mean, vl_pi, beta penalty= 0 0.2955990731716156 0.9281216263771057 21843.6484375
ch, vs_mean, vl_pi, beta penalty= 0 0.3095131516456604 0.916143000125885 21484.291015625
ch, vs_mean, vl_pi, beta penalty= 0 0.31526708602905273 0.9004091024398804 21012.2734375
evaluate_num:2 	 evaluate_reward:1.4462396475620902 	 evaluate_cost:11.569004511976843 	 evaluate_max_cost:0.9947167617703658
ch, vs_mean, vl_pi, beta penalty= 0 0.29193568229675293 0.8339498043060303 19018.494140625
ch, vs_mean, vl_pi, beta penalty= 0 0.28349557518959045 0.8313022255897522 18939.06640625
ch, vs_mean, vl_pi, beta penalty= 0 0.27986228466033936 0.8223644495010376 18670.93359375
ch, vs_mean, vl_pi, beta penalty= 0 0.2775276303291321 0.8099652528762817 18298.95703125
ch, vs_mean, vl_pi, beta penalty= 0 0.2765684425830841 0.8238419890403748 18715.259765625
ch, vs_mean, vl_pi, beta penalty= 0 0.28945398330688477 0.8850275874137878 20550.828125
ch, vs_mean, vl_pi, beta penalty= 0 0.29782190918922424 0.8967962861061096 20903.888671875
ch, vs_mean, vl_pi, beta penalty= 0 0.29902252554893494 0.907387375831604 21221.62109375
ch, vs_mean, vl_pi, beta penalty= 0 0.3184777796268463 0.9164873361587524 21494.62109375
ch, vs_mean, vl_pi, beta penalty= 0 0.3393694758415222 0.9140896797180176 21422.69140625
ch, vs_mean, vl_pi, beta penalty= 0 0.3332172632217407 0.8926514983177185 20779.544921875
ch, vs_mean, vl_pi, beta penalty= 0 0.34719419479370117 0.8931307792663574 20793.923828125
ch, vs_mean, vl_pi, beta penalty= 0 0.37744140625 0.8986302614212036 20958.908203125
ch, vs_mean, vl_pi, beta penalty= 0 0.3684225082397461 0.9016911387443542 21050.734375
ch, vs_mean, vl_pi, beta penalty= 0 0.3805067539215088 0.9075026512145996 21225.080078125
ch, vs_mean, vl_pi, beta penalty= 0 0.3479436933994293 0.8472281098365784 19416.84375
ch, vs_mean, vl_pi, beta penalty= 0 0.34419718384742737 0.8388168811798096 19164.505859375
ch, vs_mean, vl_pi, beta penalty= 0 0.3225473165512085 0.8260579109191895 18781.73828125
ch, vs_mean, vl_pi, beta penalty= 0 0.30072081089019775 0.8292298316955566 18876.89453125
ch, vs_mean, vl_pi, beta penalty= 0 0.2975667119026184 0.8287369012832642 18862.107421875
ch, vs_mean, vl_pi, beta penalty= 0 0.3139232397079468 0.898193895816803 20945.81640625
ch, vs_mean, vl_pi, beta penalty= 0 0.3010120093822479 0.9041025042533875 21123.076171875
ch, vs_mean, vl_pi, beta penalty= 0 0.2983957529067993 0.9229822158813477 21689.466796875
ch, vs_mean, vl_pi, beta penalty= 0 0.29152247309684753 0.9350791573524475 22052.375
ch, vs_mean, vl_pi, beta penalty= 0 0.2929999828338623 0.9357930421829224 22073.791015625
ch, vs_mean, vl_pi, beta penalty= 0 0.29914963245391846 0.8594024777412415 19782.07421875
ch, vs_mean, vl_pi, beta penalty= 0 0.3091013431549072 0.8665107488632202 19995.322265625
ch, vs_mean, vl_pi, beta penalty= 0 0.3138471245765686 0.86918044090271 20075.4140625
ch, vs_mean, vl_pi, beta penalty= 0 0.32411083579063416 0.8740914463996887 20222.744140625
ch, vs_mean, vl_pi, beta penalty= 0 0.3384034037590027 0.8794256448745728 20382.76953125
ch, vs_mean, vl_pi, beta penalty= 0 0.34347671270370483 0.8613913655281067 19841.7421875
ch, vs_mean, vl_pi, beta penalty= 0 0.3390808403491974 0.8708531856536865 20125.595703125
ch, vs_mean, vl_pi, beta penalty= 0 0.32926562428474426 0.8855281472206116 20565.845703125
ch, vs_mean, vl_pi, beta penalty= 0 0.3208273947238922 0.8987523913383484 20962.572265625
ch, vs_mean, vl_pi, beta penalty= 0 0.31486719846725464 0.9101053476333618 21303.16015625
ch, vs_mean, vl_pi, beta penalty= 0 0.3546390235424042 0.8725780248641968 20177.341796875
ch, vs_mean, vl_pi, beta penalty= 0 0.35070332884788513 0.862689197063446 19880.67578125
ch, vs_mean, vl_pi, beta penalty= 0 0.36247575283050537 0.8781904578208923 20345.71484375
ch, vs_mean, vl_pi, beta penalty= 0 0.3660469651222229 0.8859394192695618 20578.18359375
ch, vs_mean, vl_pi, beta penalty= 0 0.3765155076980591 0.8897932767868042 20693.798828125
ch, vs_mean, vl_pi, beta penalty= 0 0.3472742736339569 0.9265981912612915 21797.9453125
