n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0080885887145996 0.2 0.8080886006355286
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9922366738319397 0.2 0.7922366857528687
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9729689359664917 0.2 0.7729689478874207
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9561342000961304 0.2 0.7561342120170593
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.011924147605896 0.2 0.811924159526825
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0281932353973389 0.2 0.8281932473182678
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0129083395004272 0.2 0.8129083514213562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9838456511497498 0.2 0.7838456630706787
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9706621170043945 0.2 0.7706621289253235
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9733098149299622 0.2 0.7733098268508911
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9884824752807617 0.2 0.7884824872016907
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9906328916549683 0.2 0.7906329035758972
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9909942150115967 0.2 0.7909942269325256
