n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstacleCMDP k_epochs 5
env=HumanoidForwardObstacleCMDP
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 478.9029235839844 tensor(2.1082) tensor(482452.3125)
ch, vs_mean, vl_pi, beta penalty= 0 474.53619384765625 tensor(2.0386) tensor(461574.3438)
ch, vs_mean, vl_pi, beta penalty= 0 475.9056701660156 tensor(2.0067) tensor(452002.2188)
ch, vs_mean, vl_pi, beta penalty= 0 475.3895263671875 tensor(1.9625) tensor(438760.2500)
ch, vs_mean, vl_pi, beta penalty= 0 472.8409729003906 tensor(1.8291) tensor(398743.5938)
ch, vs_mean, vl_pi, beta penalty= 0 474.3112487792969 tensor(1.7998) tensor(389929.0312)
ch, vs_mean, vl_pi, beta penalty= 0 476.22174072265625 tensor(1.7505) tensor(375145.3438)
ch, vs_mean, vl_pi, beta penalty= 0 474.5477600097656 tensor(1.6619) tensor(348584.1875)
ch, vs_mean, vl_pi, beta penalty= 0 476.3345642089844 tensor(1.5589) tensor(317679.2188)
ch, vs_mean, vl_pi, beta penalty= 0 478.93798828125 tensor(1.6435) tensor(343044.8750)
ch, vs_mean, vl_pi, beta penalty= 0 480.6498718261719 tensor(1.5997) tensor(329922.5312)
ch, vs_mean, vl_pi, beta penalty= 0 482.53021240234375 tensor(1.5084) tensor(302513.6875)
ch, vs_mean, vl_pi, beta penalty= 0 482.63507080078125 tensor(1.4937) tensor(298095.2812)
ch, vs_mean, vl_pi, beta penalty= 0 480.2474060058594 tensor(1.5010) tensor(300309.3750)
ch, vs_mean, vl_pi, beta penalty= 0 479.43939208984375 tensor(1.8688) tensor(410646.5312)
ch, vs_mean, vl_pi, beta penalty= 0 482.2454833984375 tensor(1.8151) tensor(394531.3125)
ch, vs_mean, vl_pi, beta penalty= 0 480.3943786621094 tensor(1.7367) tensor(371010.7188)
ch, vs_mean, vl_pi, beta penalty= 0 479.42877197265625 tensor(1.6426) tensor(342789.2500)
ch, vs_mean, vl_pi, beta penalty= 0 478.4768371582031 tensor(1.5784) tensor(323518.2812)
ch, vs_mean, vl_pi, beta penalty= 0 486.8714599609375 tensor(1.6641) tensor(349221.7812)
ch, vs_mean, vl_pi, beta penalty= 0 486.38690185546875 tensor(1.6512) tensor(345349.5312)
ch, vs_mean, vl_pi, beta penalty= 0 486.73724365234375 tensor(1.6172) tensor(335157.2812)
ch, vs_mean, vl_pi, beta penalty= 0 487.48193359375 tensor(1.5671) tensor(320144.9375)
ch, vs_mean, vl_pi, beta penalty= 0 487.44342041015625 tensor(1.5166) tensor(304986.8125)
ch, vs_mean, vl_pi, beta penalty= 0 480.36126708984375 tensor(1.6307) tensor(339207.3125)
ch, vs_mean, vl_pi, beta penalty= 0 479.81817626953125 tensor(1.4952) tensor(298571.2188)
ch, vs_mean, vl_pi, beta penalty= 0 478.8767395019531 tensor(1.4305) tensor(279137.5312)
ch, vs_mean, vl_pi, beta penalty= 0 477.8747253417969 tensor(1.3527) tensor(255801.5625)
ch, vs_mean, vl_pi, beta penalty= 0 476.4100341796875 tensor(1.3157) tensor(244702.3594)
ch, vs_mean, vl_pi, beta penalty= 0 475.0102233886719 tensor(1.4222) tensor(276666.0312)
ch, vs_mean, vl_pi, beta penalty= 0 474.0583190917969 tensor(1.3999) tensor(269983.2812)
ch, vs_mean, vl_pi, beta penalty= 0 472.5205078125 tensor(1.3307) tensor(249218.3125)
ch, vs_mean, vl_pi, beta penalty= 0 471.3122253417969 tensor(1.3064) tensor(241929.4531)
ch, vs_mean, vl_pi, beta penalty= 0 472.3691711425781 tensor(1.3008) tensor(240250.6406)
ch, vs_mean, vl_pi, beta penalty= 0 471.4042663574219 tensor(1.3519) tensor(255576.5312)
ch, vs_mean, vl_pi, beta penalty= 0 472.6196594238281 tensor(1.2522) tensor(225668.7656)
ch, vs_mean, vl_pi, beta penalty= 0 472.8653869628906 tensor(1.2372) tensor(221165.0469)
ch, vs_mean, vl_pi, beta penalty= 0 471.1474304199219 tensor(1.1652) tensor(199553.9219)
ch, vs_mean, vl_pi, beta penalty= 0 467.05804443359375 tensor(1.1583) tensor(197486.4062)
ch, vs_mean, vl_pi, beta penalty= 0 459.1685791015625 tensor(1.3268) tensor(248038.2031)
ch, vs_mean, vl_pi, beta penalty= 0 462.8742980957031 tensor(1.2497) tensor(224918.7188)
ch, vs_mean, vl_pi, beta penalty= 0 462.5075988769531 tensor(1.1723) tensor(201677.7656)
ch, vs_mean, vl_pi, beta penalty= 0 463.28118896484375 tensor(1.0892) tensor(176745.7344)
ch, vs_mean, vl_pi, beta penalty= 0 461.24700927734375 tensor(1.0630) tensor(168899.4844)
ch, vs_mean, vl_pi, beta penalty= 0 474.6543273925781 tensor(1.5723) tensor(321687.1562)
ch, vs_mean, vl_pi, beta penalty= 0 475.7970886230469 tensor(1.8298) tensor(398935.3438)
ch, vs_mean, vl_pi, beta penalty= 0 477.6324462890625 tensor(1.9203) tensor(426084.9375)
ch, vs_mean, vl_pi, beta penalty= 0 479.52032470703125 tensor(2.0037) tensor(451109.0625)
ch, vs_mean, vl_pi, beta penalty= 0 480.0334167480469 tensor(2.0409) tensor(462283.5938)
ch, vs_mean, vl_pi, beta penalty= 0 485.14654541015625 tensor(1.8078) tensor(392339.4062)
ch, vs_mean, vl_pi, beta penalty= 0 484.7328186035156 tensor(1.7677) tensor(380323.4688)
ch, vs_mean, vl_pi, beta penalty= 0 485.89996337890625 tensor(1.7167) tensor(364998.7500)
ch, vs_mean, vl_pi, beta penalty= 0 484.3016357421875 tensor(1.7348) tensor(370451.8750)
ch, vs_mean, vl_pi, beta penalty= 0 483.6391906738281 tensor(1.7122) tensor(363645.4688)
ch, vs_mean, vl_pi, beta penalty= 0 476.6285095214844 tensor(1.8061) tensor(391842.0938)
ch, vs_mean, vl_pi, beta penalty= 0 475.7120056152344 tensor(1.8000) tensor(389998.0625)
ch, vs_mean, vl_pi, beta penalty= 0 477.03778076171875 tensor(1.8808) tensor(414241.1875)
ch, vs_mean, vl_pi, beta penalty= 0 475.57879638671875 tensor(1.8660) tensor(409805.0938)
ch, vs_mean, vl_pi, beta penalty= 0 475.6132507324219 tensor(1.8494) tensor(404831.2812)
ch, vs_mean, vl_pi, beta penalty= 0 477.5576477050781 tensor(1.7634) tensor(379023.0938)
ch, vs_mean, vl_pi, beta penalty= 0 475.1392517089844 tensor(1.7200) tensor(365989.5938)
ch, vs_mean, vl_pi, beta penalty= 0 476.055419921875 tensor(1.6628) tensor(348830.5312)
ch, vs_mean, vl_pi, beta penalty= 0 475.81158447265625 tensor(1.6553) tensor(346600.9375)
ch, vs_mean, vl_pi, beta penalty= 0 475.8570556640625 tensor(1.6305) tensor(339136.2812)
ch, vs_mean, vl_pi, beta penalty= 0 473.9980163574219 tensor(1.6651) tensor(349539.4375)
ch, vs_mean, vl_pi, beta penalty= 0 473.8035583496094 tensor(1.6674) tensor(350209.2812)
ch, vs_mean, vl_pi, beta penalty= 0 472.7896728515625 tensor(1.6306) tensor(339168.9375)
ch, vs_mean, vl_pi, beta penalty= 0 473.7385559082031 tensor(1.5737) tensor(322105.7500)
ch, vs_mean, vl_pi, beta penalty= 0 473.81884765625 tensor(1.5968) tensor(329037.9375)
ch, vs_mean, vl_pi, beta penalty= 0 476.93414306640625 tensor(1.7525) tensor(375747.)
ch, vs_mean, vl_pi, beta penalty= 0 476.2715148925781 tensor(1.6989) tensor(359667.4688)
ch, vs_mean, vl_pi, beta penalty= 0 474.2738342285156 tensor(1.6764) tensor(352906.3125)
ch, vs_mean, vl_pi, beta penalty= 0 475.3040771484375 tensor(1.6312) tensor(339367.4375)
ch, vs_mean, vl_pi, beta penalty= 0 476.05517578125 tensor(1.5681) tensor(320425.5625)
ch, vs_mean, vl_pi, beta penalty= 0 469.9992980957031 tensor(1.7401) tensor(372017.1562)
ch, vs_mean, vl_pi, beta penalty= 0 470.4310302734375 tensor(1.6501) tensor(345020.8438)
ch, vs_mean, vl_pi, beta penalty= 0 467.2159423828125 tensor(1.6037) tensor(331110.3125)
ch, vs_mean, vl_pi, beta penalty= 0 466.6060791015625 tensor(1.5890) tensor(326690.4375)
ch, vs_mean, vl_pi, beta penalty= 0 466.2745361328125 tensor(1.5457) tensor(313721.1562)
ch, vs_mean, vl_pi, beta penalty= 0 469.67193603515625 tensor(1.8495) tensor(404842.4062)
ch, vs_mean, vl_pi, beta penalty= 0 473.4937438964844 tensor(1.7677) tensor(380296.6562)
ch, vs_mean, vl_pi, beta penalty= 0 472.6539306640625 tensor(1.6781) tensor(353421.)
ch, vs_mean, vl_pi, beta penalty= 0 471.6270446777344 tensor(1.5889) tensor(326658.2500)
ch, vs_mean, vl_pi, beta penalty= 0 471.22674560546875 tensor(1.5365) tensor(310961.7500)
ch, vs_mean, vl_pi, beta penalty= 0 472.1529541015625 tensor(1.6379) tensor(341384.6562)
ch, vs_mean, vl_pi, beta penalty= 0 473.2078857421875 tensor(1.5918) tensor(327527.8438)
ch, vs_mean, vl_pi, beta penalty= 0 475.72216796875 tensor(1.4712) tensor(291360.0938)
ch, vs_mean, vl_pi, beta penalty= 0 475.3995666503906 tensor(1.4328) tensor(279832.8750)
ch, vs_mean, vl_pi, beta penalty= 0 475.6522521972656 tensor(1.3777) tensor(263314.3125)
ch, vs_mean, vl_pi, beta penalty= 0 480.0098876953125 tensor(1.4917) tensor(297503.3438)
ch, vs_mean, vl_pi, beta penalty= 0 479.0127258300781 tensor(1.4803) tensor(294099.7188)
ch, vs_mean, vl_pi, beta penalty= 0 480.3616027832031 tensor(1.4324) tensor(279731.5625)
ch, vs_mean, vl_pi, beta penalty= 0 481.88568115234375 tensor(1.3878) tensor(266341.1250)
ch, vs_mean, vl_pi, beta penalty= 0 480.2858581542969 tensor(1.3693) tensor(260791.6406)
ch, vs_mean, vl_pi, beta penalty= 0 482.0052490234375 tensor(1.4399) tensor(281962.9688)
ch, vs_mean, vl_pi, beta penalty= 0 480.2651062011719 tensor(1.4182) tensor(275458.8750)
ch, vs_mean, vl_pi, beta penalty= 0 480.4051818847656 tensor(1.3514) tensor(255409.0312)
ch, vs_mean, vl_pi, beta penalty= 0 479.6840515136719 tensor(1.2768) tensor(233031.2812)
ch, vs_mean, vl_pi, beta penalty= 0 479.88330078125 tensor(1.3228) tensor(246848.0156)
ch, vs_mean, vl_pi, beta penalty= 0 473.732177734375 tensor(1.4481) tensor(284433.0625)
ch, vs_mean, vl_pi, beta penalty= 0 471.72357177734375 tensor(1.4069) tensor(272056.5625)
ch, vs_mean, vl_pi, beta penalty= 0 473.4347229003906 tensor(1.3158) tensor(244729.9688)
ch, vs_mean, vl_pi, beta penalty= 0 473.17218017578125 tensor(1.2866) tensor(235989.6875)
ch, vs_mean, vl_pi, beta penalty= 0 472.00518798828125 tensor(1.2849) tensor(235484.8281)
