n0093
Tue Mar 31 10:06:01 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 17 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:52.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:6 	 evaluate_reward:299.0 	 evaluate_cost:146.38350106322292 	 evaluate_max_cost:12.425058822180697
ch, vs_mean, vl_pi, beta penalty= 1 69.76636505126953 13.460641860961914 286.51604652404785
ch, vs_mean, vl_pi, beta penalty= 1 70.99787139892578 13.442778587341309 286.0694646835327
ch, vs_mean, vl_pi, beta penalty= 1 71.49330139160156 13.413512229919434 285.33780574798584
ch, vs_mean, vl_pi, beta penalty= 1 74.09220886230469 13.655722618103027 291.3930654525757
ch, vs_mean, vl_pi, beta penalty= 1 76.16877746582031 13.93056869506836 298.264217376709
ch, vs_mean, vl_pi, beta penalty= 1 74.78866577148438 13.539752006530762 288.49380016326904
ch, vs_mean, vl_pi, beta penalty= 1 70.80261993408203 13.344505310058594 283.61263275146484
ch, vs_mean, vl_pi, beta penalty= 1 70.7621078491211 13.317224502563477 282.9306125640869
ch, vs_mean, vl_pi, beta penalty= 1 71.16454315185547 13.299652099609375 282.4913024902344
ch, vs_mean, vl_pi, beta penalty= 1 70.34223175048828 13.270569801330566 281.76424503326416
ch, vs_mean, vl_pi, beta penalty= 1 73.82261657714844 13.239029884338379 280.9757471084595
ch, vs_mean, vl_pi, beta penalty= 1 74.93851470947266 13.212591171264648 280.3147792816162
ch, vs_mean, vl_pi, beta penalty= 1 78.28890991210938 13.190033912658691 279.7508478164673
ch, vs_mean, vl_pi, beta penalty= 1 82.80986022949219 11.066468238830566 226.66170597076416
ch, vs_mean, vl_pi, beta penalty= 1 79.50470733642578 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.22418212890625 11.050511360168457 226.26278400421143
ch, vs_mean, vl_pi, beta penalty= 1 82.23772430419922 11.105521202087402 227.63803005218506
ch, vs_mean, vl_pi, beta penalty= 1 82.56713104248047 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.175537109375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.16517639160156 10.0 200.0
evaluate_num:7 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
ch, vs_mean, vl_pi, beta penalty= 1 83.20550537109375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.18543243408203 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.75923156738281 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.05963134765625 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.02027130126953 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.05338287353516 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.85723114013672 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.11738586425781 10.0 200.0
