n0071
Sat Sep 19 04:26:14 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 6 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:0.03503666581309517 	 evaluate_max_cost:0.0001025578094413504
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.0001025578094413504
FAC | warm_start_active=False, vs_mean=470.4073, vl_pi= 3.140755 beta_penalty= 642226.5 lambda_mean= [0.71005166] VC_mean= [2.5969925] d= [1.]
FAC | warm_start_active=False, vs_mean=460.4101, vl_pi= 3.4293954 beta_penalty= 728818.6 lambda_mean= [0.71056676] VC_mean= [2.5705957] d= [1.]
FAC | warm_start_active=False, vs_mean=461.0963, vl_pi= 3.4098334 beta_penalty= 722950.0 lambda_mean= [0.71056676] VC_mean= [2.6022391] d= [1.]
FAC | warm_start_active=False, vs_mean=463.5457, vl_pi= 3.134014 beta_penalty= 640204.2 lambda_mean= [0.71056676] VC_mean= [2.552689] d= [1.]
FAC | warm_start_active=False, vs_mean=468.1815, vl_pi= 3.0736635 beta_penalty= 622099.06 lambda_mean= [0.71056676] VC_mean= [2.5392187] d= [1.]
FAC | warm_start_active=False, vs_mean=472.4475, vl_pi= 3.0302715 beta_penalty= 609081.44 lambda_mean= [0.71056676] VC_mean= [2.5387018] d= [1.]
FAC | warm_start_active=False, vs_mean=475.7246, vl_pi= 3.3961024 beta_penalty= 718830.75 lambda_mean= [0.7109809] VC_mean= [2.5628579] d= [1.]
FAC | warm_start_active=False, vs_mean=476.3663, vl_pi= 3.2852242 beta_penalty= 685567.25 lambda_mean= [0.7109809] VC_mean= [2.568224] d= [1.]
FAC | warm_start_active=False, vs_mean=477.1848, vl_pi= 3.2085593 beta_penalty= 662567.8 lambda_mean= [0.7109809] VC_mean= [2.5757153] d= [1.]
FAC | warm_start_active=False, vs_mean=478.1285, vl_pi= 3.0193405 beta_penalty= 605802.1 lambda_mean= [0.7109809] VC_mean= [2.5439024] d= [1.]
FAC | warm_start_active=False, vs_mean=474.9584, vl_pi= 2.9329326 beta_penalty= 579879.8 lambda_mean= [0.7109809] VC_mean= [2.5017438] d= [1.]
FAC | warm_start_active=False, vs_mean=466.3008, vl_pi= 3.171398 beta_penalty= 651419.4 lambda_mean= [0.71114314] VC_mean= [2.4440405] d= [1.]
