n0054
Fri Sep  4 03:19:33 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 701 seed= 1 env= HalfCheetahCMDP k_epochs 5
env=HalfCheetahCMDP
state_dim=19
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4.725817244352644 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 4.725817244352644 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.724853515625 tensor(6.9267) 42.798187255859375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.724853515625 tensor(6.9267) 42.798187255859375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.62431716918945 tensor(6.9267) 40.69765090942383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.62431716918945 tensor(6.9267) 40.69765090942383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.62431716918945 tensor(6.9267) 40.69765090942383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.62431716918945 tensor(6.9267) 40.69765090942383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.62431716918945 tensor(6.9267) 40.69765090942383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.193878173828125 tensor(6.9267) 41.2672119140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.193878173828125 tensor(6.9267) 41.2672119140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.193878173828125 tensor(6.9267) 41.2672119140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.193878173828125 tensor(6.9267) 41.2672119140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.193878173828125 tensor(6.9267) 41.2672119140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 51.963592529296875 tensor(6.9267) 45.03692626953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 51.963592529296875 tensor(6.9267) 45.03692626953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 51.963592529296875 tensor(6.9267) 45.03692626953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 51.963592529296875 tensor(6.9267) 45.03692626953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 51.963592529296875 tensor(6.9267) 45.03692626953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 52.29973220825195 tensor(6.9267) 45.37306594848633
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 52.29973220825195 tensor(6.9267) 45.37306594848633
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 52.29973220825195 tensor(6.9267) 45.37306594848633
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 52.29973220825195 tensor(6.9267) 45.37306594848633
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 52.29973220825195 tensor(6.9267) 45.37306594848633
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.2572135925293 tensor(6.9267) 40.33054733276367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.2572135925293 tensor(6.9267) 40.33054733276367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.2572135925293 tensor(6.9267) 40.33054733276367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.2572135925293 tensor(6.9267) 40.33054733276367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.2572135925293 tensor(6.9267) 40.33054733276367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.373600006103516 tensor(6.9267) 42.44693374633789
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.373600006103516 tensor(6.9267) 42.44693374633789
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.373600006103516 tensor(6.9267) 42.44693374633789
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.373600006103516 tensor(6.9267) 42.44693374633789
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 49.373600006103516 tensor(6.9267) 42.44693374633789
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.3538703918457 tensor(6.9267) 40.42720413208008
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.3538703918457 tensor(6.9267) 40.42720413208008
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.3538703918457 tensor(6.9267) 40.42720413208008
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.3538703918457 tensor(6.9267) 40.42720413208008
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.3538703918457 tensor(6.9267) 40.42720413208008
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.28091049194336 tensor(6.9267) 37.354244232177734
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.28091049194336 tensor(6.9267) 37.354244232177734
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.28091049194336 tensor(6.9267) 37.354244232177734
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.28091049194336 tensor(6.9267) 37.354244232177734
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.28091049194336 tensor(6.9267) 37.354244232177734
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 41.717777252197266 tensor(6.9267) 34.79111099243164
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 41.717777252197266 tensor(6.9267) 34.79111099243164
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 41.717777252197266 tensor(6.9267) 34.79111099243164
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 41.717777252197266 tensor(6.9267) 34.79111099243164
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 41.717777252197266 tensor(6.9267) 34.79111099243164
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 29.29296875 tensor(5.2200) 24.072969436645508
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 29.29296875 tensor(5.2200) 24.072969436645508
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 29.29296875 tensor(5.2200) 24.072969436645508
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 29.29296875 tensor(5.2200) 24.072969436645508
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 29.29296875 tensor(5.2200) 24.072969436645508
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.73228073120117 tensor(6.9267) 35.80561447143555
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.73228073120117 tensor(6.9267) 35.80561447143555
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.73228073120117 tensor(6.9267) 35.80561447143555
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.73228073120117 tensor(6.9267) 35.80561447143555
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.73228073120117 tensor(6.9267) 35.80561447143555
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.5595817565918 tensor(6.9267) 38.63291549682617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.5595817565918 tensor(6.9267) 38.63291549682617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.5595817565918 tensor(6.9267) 38.63291549682617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.5595817565918 tensor(6.9267) 38.63291549682617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.5595817565918 tensor(6.9267) 38.63291549682617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.47849655151367 tensor(6.9267) 38.55183029174805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.47849655151367 tensor(6.9267) 38.55183029174805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.47849655151367 tensor(6.9267) 38.55183029174805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.47849655151367 tensor(6.9267) 38.55183029174805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.47849655151367 tensor(6.9267) 38.55183029174805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.49619674682617 tensor(6.9267) 47.56953048706055
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.49619674682617 tensor(6.9267) 47.56953048706055
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.49619674682617 tensor(6.9267) 47.56953048706055
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.49619674682617 tensor(6.9267) 47.56953048706055
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.49619674682617 tensor(6.9267) 47.56953048706055
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.15595626831055 tensor(6.9267) 40.22929000854492
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.15595626831055 tensor(6.9267) 40.22929000854492
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.15595626831055 tensor(6.9267) 40.22929000854492
