n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=117.8296, vl_pi= 0.7884741 beta_penalty= 20654.223 lambda_mean= [0.6943413] VC_mean= [0.57155544] d= [0.1]
FAC | warm_start_active=False, vs_mean=116.2513, vl_pi= 0.6447638 beta_penalty= 16342.914 lambda_mean= [0.6940131] VC_mean= [0.5336094] d= [0.1]
FAC | warm_start_active=False, vs_mean=116.0045, vl_pi= 0.6282699 beta_penalty= 15848.097 lambda_mean= [0.6940131] VC_mean= [0.52937865] d= [0.1]
FAC | warm_start_active=False, vs_mean=117.2837, vl_pi= 0.6197796 beta_penalty= 15593.387 lambda_mean= [0.6940131] VC_mean= [0.5282766] d= [0.1]
FAC | warm_start_active=False, vs_mean=117.1347, vl_pi= 0.61891115 beta_penalty= 15567.334 lambda_mean= [0.6940131] VC_mean= [0.5279579] d= [0.1]
FAC | warm_start_active=False, vs_mean=118.4254, vl_pi= 0.6229367 beta_penalty= 15688.101 lambda_mean= [0.6940131] VC_mean= [0.52990025] d= [0.1]
FAC | warm_start_active=False, vs_mean=120.4516, vl_pi= 0.64139074 beta_penalty= 16241.722 lambda_mean= [0.6939329] VC_mean= [0.53084457] d= [0.1]
FAC | warm_start_active=False, vs_mean=119.0024, vl_pi= 0.63909054 beta_penalty= 16172.716 lambda_mean= [0.6939329] VC_mean= [0.5327291] d= [0.1]
FAC | warm_start_active=False, vs_mean=125.1097, vl_pi= 0.6228885 beta_penalty= 15686.654 lambda_mean= [0.6939329] VC_mean= [0.52602935] d= [0.1]
FAC | warm_start_active=False, vs_mean=126.4068, vl_pi= 0.6089605 beta_penalty= 15268.814 lambda_mean= [0.6939329] VC_mean= [0.52505356] d= [0.1]
FAC | warm_start_active=False, vs_mean=122.8077, vl_pi= 0.5942988 beta_penalty= 14828.964 lambda_mean= [0.6939329] VC_mean= [0.5195837] d= [0.1]
FAC | warm_start_active=False, vs_mean=123.0186, vl_pi= 0.6999817 beta_penalty= 17999.45 lambda_mean= [0.694118] VC_mean= [0.51942194] d= [0.1]
FAC | warm_start_active=False, vs_mean=123.5966, vl_pi= 0.6822503 beta_penalty= 17467.51 lambda_mean= [0.694118] VC_mean= [0.52543706] d= [0.1]
FAC | warm_start_active=False, vs_mean=124.9218, vl_pi= 0.67433083 beta_penalty= 17229.924 lambda_mean= [0.694118] VC_mean= [0.5272588] d= [0.1]
FAC | warm_start_active=False, vs_mean=125.1107, vl_pi= 0.65669894 beta_penalty= 16700.967 lambda_mean= [0.694118] VC_mean= [0.52555466] d= [0.1]
FAC | warm_start_active=False, vs_mean=125.2162, vl_pi= 0.6409175 beta_penalty= 16227.523 lambda_mean= [0.694118] VC_mean= [0.52335846] d= [0.1]
FAC | warm_start_active=False, vs_mean=127.0212, vl_pi= 0.62318665 beta_penalty= 15695.599 lambda_mean= [0.69391906] VC_mean= [0.518046] d= [0.1]
FAC | warm_start_active=False, vs_mean=128.5656, vl_pi= 0.6061768 beta_penalty= 15185.303 lambda_mean= [0.69391906] VC_mean= [0.51379615] d= [0.1]
FAC | warm_start_active=False, vs_mean=128.4019, vl_pi= 0.6034939 beta_penalty= 15104.817 lambda_mean= [0.69391906] VC_mean= [0.5113455] d= [0.1]
FAC | warm_start_active=False, vs_mean=128.4151, vl_pi= 0.58905685 beta_penalty= 14671.706 lambda_mean= [0.69391906] VC_mean= [0.51169366] d= [0.1]
FAC | warm_start_active=False, vs_mean=130.7279, vl_pi= 0.5938275 beta_penalty= 14814.825 lambda_mean= [0.69391906] VC_mean= [0.5131606] d= [0.1]
FAC | warm_start_active=False, vs_mean=129.6728, vl_pi= 0.584343 beta_penalty= 14530.291 lambda_mean= [0.69397753] VC_mean= [0.51081526] d= [0.1]
FAC | warm_start_active=False, vs_mean=134.7762, vl_pi= 0.5862933 beta_penalty= 14588.799 lambda_mean= [0.69397753] VC_mean= [0.51352197] d= [0.1]
FAC | warm_start_active=False, vs_mean=138.9906, vl_pi= 0.5881785 beta_penalty= 14645.355 lambda_mean= [0.69397753] VC_mean= [0.5149349] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.5588, vl_pi= 0.5891928 beta_penalty= 14675.784 lambda_mean= [0.69397753] VC_mean= [0.5174755] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.4346, vl_pi= 0.5813971 beta_penalty= 14441.914 lambda_mean= [0.69397753] VC_mean= [0.5160947] d= [0.1]
