2026-03-09 15:43:10,498 - INFO - Ep 28 | Reward: 8.0 | Cost: 0.94 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.141 | Reward Term: 3.908 | Beta: 1.2673 | Optimized: Reward
2026-03-09 15:43:10,510 - INFO - Ep 29 | Reward: 6.0 | Cost: 0.43 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.149 | Reward Term: 2.950 | Beta: 1.2772 | Optimized: Reward
2026-03-09 15:43:10,522 - INFO - Ep 30 | Reward: 7.0 | Cost: 0.60 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.158 | Reward Term: 3.431 | Beta: 1.2871 | Optimized: Reward
2026-03-09 15:43:10,533 - INFO - Ep 31 | Reward: 5.0 | Cost: 0.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.167 | Reward Term: 2.467 | Beta: 1.2970 | Optimized: Reward
2026-03-09 15:43:10,549 - INFO - Ep 32 | Reward: 10.0 | Cost: 0.73 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.176 | Reward Term: 4.853 | Beta: 1.3069 | Optimized: Reward
2026-03-09 15:43:10,566 - INFO - Ep 33 | Reward: 10.0 | Cost: 0.76 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.185 | Reward Term: 4.853 | Beta: 1.3168 | Optimized: Reward
2026-03-09 15:43:10,577 - INFO - Ep 34 | Reward: 5.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.194 | Reward Term: 2.467 | Beta: 1.3267 | Optimized: Reward
2026-03-09 15:43:10,588 - INFO - Ep 35 | Reward: 7.0 | Cost: 0.59 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.203 | Reward Term: 3.921 | Beta: 1.3366 | Optimized: Reward
2026-03-09 15:43:10,601 - INFO - Ep 36 | Reward: 8.0 | Cost: 0.36 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.212 | Reward Term: 4.397 | Beta: 1.3465 | Optimized: Reward
2026-03-09 15:43:10,611 - INFO - Ep 37 | Reward: 5.0 | Cost: 0.45 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.221 | Reward Term: 2.960 | Beta: 1.3564 | Optimized: Reward
2026-03-09 15:43:10,623 - INFO - Ep 38 | Reward: 7.0 | Cost: 0.63 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.230 | Reward Term: 3.921 | Beta: 1.3663 | Optimized: Reward
2026-03-09 15:43:10,632 - INFO - Ep 39 | Reward: 4.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.239 | Reward Term: 1.980 | Beta: 1.3762 | Optimized: Reward
2026-03-09 15:43:10,654 - INFO - Ep 40 | Reward: 16.0 | Cost: 1.59 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.247 | Reward Term: 7.614 | Beta: 1.3861 | Optimized: Reward
