n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=473.3885, vl_pi= 3.330126 beta_penalty= 699037.8 lambda_mean= [0.7040413] VC_mean= [2.7020116] d= [1.]
FAC | warm_start_active=False, vs_mean=484.0445, vl_pi= 3.5511487 beta_penalty= 765344.6 lambda_mean= [0.7038016] VC_mean= [2.7814994] d= [1.]
FAC | warm_start_active=False, vs_mean=480.3578, vl_pi= 3.2961035 beta_penalty= 688831.06 lambda_mean= [0.7038016] VC_mean= [2.7143035] d= [1.]
FAC | warm_start_active=False, vs_mean=482.9641, vl_pi= 3.1993399 beta_penalty= 659801.94 lambda_mean= [0.7038016] VC_mean= [2.606587] d= [1.]
FAC | warm_start_active=False, vs_mean=482.6061, vl_pi= 3.1150603 beta_penalty= 634518.1 lambda_mean= [0.7038016] VC_mean= [2.56318] d= [1.]
FAC | warm_start_active=False, vs_mean=483.8354, vl_pi= 3.0905998 beta_penalty= 627179.94 lambda_mean= [0.7038016] VC_mean= [2.612604] d= [1.]
FAC | warm_start_active=False, vs_mean=475.8883, vl_pi= 3.482068 beta_penalty= 744620.44 lambda_mean= [0.7042653] VC_mean= [2.6404538] d= [1.]
FAC | warm_start_active=False, vs_mean=480.5188, vl_pi= 3.3316352 beta_penalty= 699490.56 lambda_mean= [0.7042653] VC_mean= [2.561102] d= [1.]
FAC | warm_start_active=False, vs_mean=481.0634, vl_pi= 3.357511 beta_penalty= 707253.3 lambda_mean= [0.7042653] VC_mean= [2.6097631] d= [1.]
FAC | warm_start_active=False, vs_mean=481.0603, vl_pi= 3.3361368 beta_penalty= 700841.06 lambda_mean= [0.7042653] VC_mean= [2.6234798] d= [1.]
FAC | warm_start_active=False, vs_mean=482.9099, vl_pi= 3.2573225 beta_penalty= 677196.75 lambda_mean= [0.7042653] VC_mean= [2.5368738] d= [1.]
FAC | warm_start_active=False, vs_mean=481.0241, vl_pi= 3.1571994 beta_penalty= 647159.8 lambda_mean= [0.7046849] VC_mean= [2.5412035] d= [1.]
FAC | warm_start_active=False, vs_mean=480.1610, vl_pi= 3.1999986 beta_penalty= 659999.56 lambda_mean= [0.7046849] VC_mean= [2.580693] d= [1.]
FAC | warm_start_active=False, vs_mean=481.8789, vl_pi= 3.1832595 beta_penalty= 654977.9 lambda_mean= [0.7046849] VC_mean= [2.5991688] d= [1.]
FAC | warm_start_active=False, vs_mean=480.3888, vl_pi= 3.1430597 beta_penalty= 642917.94 lambda_mean= [0.7046849] VC_mean= [2.595079] d= [1.]
FAC | warm_start_active=False, vs_mean=479.4110, vl_pi= 3.0679708 beta_penalty= 620391.25 lambda_mean= [0.7046849] VC_mean= [2.5806692] d= [1.]
FAC | warm_start_active=False, vs_mean=468.2934, vl_pi= 3.1881778 beta_penalty= 656453.4 lambda_mean= [0.7044859] VC_mean= [2.571661] d= [1.]
FAC | warm_start_active=False, vs_mean=466.1167, vl_pi= 3.208272 beta_penalty= 662481.6 lambda_mean= [0.7044859] VC_mean= [2.556093] d= [1.]
FAC | warm_start_active=False, vs_mean=463.9547, vl_pi= 2.96821 beta_penalty= 590463.0 lambda_mean= [0.7044859] VC_mean= [2.4962819] d= [1.]
FAC | warm_start_active=False, vs_mean=464.2522, vl_pi= 2.8840814 beta_penalty= 565224.44 lambda_mean= [0.7044859] VC_mean= [2.5103524] d= [1.]
FAC | warm_start_active=False, vs_mean=464.2262, vl_pi= 2.907918 beta_penalty= 572375.4 lambda_mean= [0.7044859] VC_mean= [2.5277803] d= [1.]
FAC | warm_start_active=False, vs_mean=468.4278, vl_pi= 3.1091309 beta_penalty= 632739.25 lambda_mean= [0.70434076] VC_mean= [2.5449538] d= [1.]
FAC | warm_start_active=False, vs_mean=471.1210, vl_pi= 3.1126626 beta_penalty= 633798.75 lambda_mean= [0.70434076] VC_mean= [2.578548] d= [1.]
FAC | warm_start_active=False, vs_mean=472.4240, vl_pi= 3.0720336 beta_penalty= 621610.06 lambda_mean= [0.70434076] VC_mean= [2.596442] d= [1.]
FAC | warm_start_active=False, vs_mean=471.4831, vl_pi= 3.0533044 beta_penalty= 615991.3 lambda_mean= [0.70434076] VC_mean= [2.5714204] d= [1.]
FAC | warm_start_active=False, vs_mean=471.5239, vl_pi= 2.993904 beta_penalty= 598171.25 lambda_mean= [0.70434076] VC_mean= [2.5628228] d= [1.]
FAC | warm_start_active=False, vs_mean=487.7989, vl_pi= 3.1816187 beta_penalty= 654485.6 lambda_mean= [0.703694] VC_mean= [2.5683367] d= [1.]
FAC | warm_start_active=False, vs_mean=484.7036, vl_pi= 3.0412164 beta_penalty= 612364.94 lambda_mean= [0.703694] VC_mean= [2.539321] d= [1.]
FAC | warm_start_active=False, vs_mean=484.3335, vl_pi= 2.9175944 beta_penalty= 575278.3 lambda_mean= [0.703694] VC_mean= [2.5274765] d= [1.]
FAC | warm_start_active=False, vs_mean=485.1162, vl_pi= 2.9563313 beta_penalty= 586899.4 lambda_mean= [0.703694] VC_mean= [2.572568] d= [1.]
FAC | warm_start_active=False, vs_mean=486.6072, vl_pi= 3.0262747 beta_penalty= 607882.4 lambda_mean= [0.703694] VC_mean= [2.590209] d= [1.]
FAC | warm_start_active=False, vs_mean=487.3902, vl_pi= 3.0091758 beta_penalty= 602752.75 lambda_mean= [0.70455915] VC_mean= [2.5849717] d= [1.]
FAC | warm_start_active=False, vs_mean=486.2589, vl_pi= 2.8950517 beta_penalty= 568515.5 lambda_mean= [0.70455915] VC_mean= [2.5203013] d= [1.]
