2026-03-09 13:36:59,070 - INFO - Ep 30 | Reward: 12.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 6.268 | Optimized: Cost
2026-03-09 13:36:59,113 - INFO - Ep 31 | Reward: 11.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 5.804 | Optimized: Cost
2026-03-09 13:36:59,139 - INFO - Ep 32 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:36:59,163 - INFO - Ep 33 | Reward: 4.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 13:36:59,187 - INFO - Ep 34 | Reward: 6.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:36:59,199 - INFO - Ep 35 | Reward: 6.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:36:59,221 - INFO - Ep 36 | Reward: 5.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:36:59,243 - INFO - Ep 37 | Reward: 4.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 13:36:59,273 - INFO - Ep 38 | Reward: 9.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:36:59,297 - INFO - Ep 39 | Reward: 5.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:36:59,321 - INFO - Ep 40 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:36:59,334 - INFO - Ep 41 | Reward: 8.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 13:36:59,357 - INFO - Ep 42 | Reward: 5.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:36:59,390 - INFO - Ep 43 | Reward: 15.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 7.639 | Optimized: Cost
2026-03-09 13:36:59,414 - INFO - Ep 44 | Reward: 5.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:36:59,445 - INFO - Ep 45 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:36:59,468 - INFO - Ep 46 | Reward: 5.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:36:59,500 - INFO - Ep 47 | Reward: 13.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 6.247 | Optimized: Cost
2026-03-09 13:36:59,527 - INFO - Ep 48 | Reward: 8.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 13:36:59,550 - INFO - Ep 49 | Reward: 5.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:36:59,576 - INFO - Ep 50 | Reward: 8.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.908 | Optimized: Cost
2026-03-09 13:37:00,351 - INFO - Ep 51 | Reward: 23.0 | Cost: 1.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 10.699 | Optimized: Cost
2026-03-09 13:37:00,406 - INFO - Ep 52 | Reward: 11.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 5.804 | Optimized: Cost
2026-03-09 13:37:00,420 - INFO - Ep 53 | Reward: 5.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:00,446 - INFO - Ep 54 | Reward: 7.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:00,487 - INFO - Ep 55 | Reward: 9.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:37:00,498 - INFO - Ep 56 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:00,520 - INFO - Ep 57 | Reward: 4.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 1.980 | Optimized: Cost
