2026-03-09 14:14:26,462 - INFO - Ep 30 | Reward: 12.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.913 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 14:14:26,534 - INFO - Ep 31 | Reward: 14.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.914 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:26,606 - INFO - Ep 32 | Reward: 16.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.914 | Reward Term: 7.614 | Optimized: Reward
2026-03-09 14:14:26,651 - INFO - Ep 33 | Reward: 5.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.915 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:26,695 - INFO - Ep 34 | Reward: 10.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.915 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:26,716 - INFO - Ep 35 | Reward: 5.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.915 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:26,754 - INFO - Ep 36 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.916 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:26,788 - INFO - Ep 37 | Reward: 15.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.916 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 14:14:26,835 - INFO - Ep 38 | Reward: 11.0 | Cost: 0.32 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.917 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:14:26,861 - INFO - Ep 39 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.917 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:14:26,891 - INFO - Ep 40 | Reward: 10.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:26,917 - INFO - Ep 41 | Reward: 7.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:26,970 - INFO - Ep 42 | Reward: 19.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.919 | Reward Term: 8.953 | Optimized: Reward
2026-03-09 14:14:26,997 - INFO - Ep 43 | Reward: 6.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.919 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:27,028 - INFO - Ep 44 | Reward: 12.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.920 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 14:14:27,068 - INFO - Ep 45 | Reward: 8.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.920 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:14:27,105 - INFO - Ep 46 | Reward: 16.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.920 | Reward Term: 7.614 | Optimized: Reward
2026-03-09 14:14:27,204 - INFO - Ep 47 | Reward: 32.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.921 | Reward Term: 14.464 | Optimized: Reward
2026-03-09 14:14:27,267 - INFO - Ep 48 | Reward: 6.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.921 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:14:27,299 - INFO - Ep 49 | Reward: 10.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.922 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 14:14:27,334 - INFO - Ep 50 | Reward: 8.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.922 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:14:28,465 - INFO - Ep 51 | Reward: 24.0 | Cost: 0.34 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.923 | Reward Term: 11.592 | Optimized: Reward
2026-03-09 14:14:28,610 - INFO - Ep 52 | Reward: 24.0 | Cost: 0.69 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.923 | Reward Term: 11.592 | Optimized: Reward
2026-03-09 14:14:28,643 - INFO - Ep 53 | Reward: 6.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.924 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:14:28,694 - INFO - Ep 54 | Reward: 16.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.924 | Reward Term: 7.614 | Optimized: Reward
2026-03-09 14:14:28,733 - INFO - Ep 55 | Reward: 6.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.925 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:14:28,744 - INFO - Ep 56 | Reward: 5.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.925 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:28,767 - INFO - Ep 57 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.926 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:28,796 - INFO - Ep 58 | Reward: 11.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.926 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:14:28,836 - INFO - Ep 59 | Reward: 7.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.926 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:28,869 - INFO - Ep 60 | Reward: 14.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:14:28,914 - INFO - Ep 61 | Reward: 12.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:14:28,949 - INFO - Ep 62 | Reward: 14.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.928 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:28,976 - INFO - Ep 63 | Reward: 7.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.928 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:29,002 - INFO - Ep 64 | Reward: 7.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.929 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:29,044 - INFO - Ep 65 | Reward: 10.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.929 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:29,071 - INFO - Ep 66 | Reward: 7.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.930 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:29,099 - INFO - Ep 67 | Reward: 9.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.930 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:29,127 - INFO - Ep 68 | Reward: 9.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.931 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 14:14:29,154 - INFO - Ep 69 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.931 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:29,183 - INFO - Ep 70 | Reward: 11.0 | Cost: 0.01 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:14:29,236 - INFO - Ep 71 | Reward: 13.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.932 | Reward Term: 6.728 | Optimized: Reward
2026-03-09 14:14:29,257 - INFO - Ep 72 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.933 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:29,283 - INFO - Ep 73 | Reward: 7.0 | Cost: 0.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.933 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:29,333 - INFO - Ep 74 | Reward: 17.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.933 | Reward Term: 8.538 | Optimized: Reward
2026-03-09 14:14:29,363 - INFO - Ep 75 | Reward: 10.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.934 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 14:14:29,388 - INFO - Ep 76 | Reward: 6.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.934 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:29,415 - INFO - Ep 77 | Reward: 8.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.935 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:14:29,457 - INFO - Ep 78 | Reward: 10.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.935 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 14:14:29,515 - INFO - Ep 79 | Reward: 14.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:14:29,543 - INFO - Ep 80 | Reward: 7.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:29,575 - INFO - Ep 81 | Reward: 13.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.937 | Reward Term: 6.728 | Optimized: Reward
2026-03-09 14:14:29,601 - INFO - Ep 82 | Reward: 7.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.937 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:29,652 - INFO - Ep 83 | Reward: 19.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.938 | Reward Term: 9.425 | Optimized: Reward
2026-03-09 14:14:29,697 - INFO - Ep 84 | Reward: 9.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.938 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:29,710 - INFO - Ep 85 | Reward: 7.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.939 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:29,745 - INFO - Ep 86 | Reward: 9.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.939 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:29,791 - INFO - Ep 87 | Reward: 14.0 | Cost: 0.45 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.940 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:29,813 - INFO - Ep 88 | Reward: 5.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.940 | Reward Term: 2.467 | Optimized: Reward
