n0050
Thu Aug 27 11:01:15 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 7 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.8368217784400567 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.8368217784400567 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 41.880210876464844 tensor(1.6765) tensor(44295.9648)
ch, vs_mean, vl_pi, beta penalty= 0 42.89991760253906 tensor(1.6620) tensor(43860.7188)
ch, vs_mean, vl_pi, beta penalty= 0 44.599517822265625 tensor(1.6397) tensor(43190.7656)
ch, vs_mean, vl_pi, beta penalty= 0 45.66804504394531 tensor(1.6052) tensor(42157.4414)
ch, vs_mean, vl_pi, beta penalty= 0 47.250755310058594 tensor(1.6086) tensor(42258.1172)
ch, vs_mean, vl_pi, beta penalty= 0 52.94670104980469 tensor(2.5106) tensor(69318.0703)
ch, vs_mean, vl_pi, beta penalty= 0 52.68071365356445 tensor(2.4288) tensor(66865.4922)
ch, vs_mean, vl_pi, beta penalty= 0 52.91100311279297 tensor(2.3980) tensor(65939.0938)
ch, vs_mean, vl_pi, beta penalty= 0 52.04621887207031 tensor(2.4421) tensor(67262.9609)
ch, vs_mean, vl_pi, beta penalty= 0 51.706668853759766 tensor(2.3649) tensor(64947.8594)
ch, vs_mean, vl_pi, beta penalty= 0 52.09202575683594 tensor(2.1298) tensor(57892.9414)
ch, vs_mean, vl_pi, beta penalty= 0 53.283775329589844 tensor(2.1543) tensor(58628.3750)
ch, vs_mean, vl_pi, beta penalty= 0 53.1481819152832 tensor(2.2023) tensor(60070.0586)
ch, vs_mean, vl_pi, beta penalty= 0 53.964500427246094 tensor(2.1910) tensor(59729.5703)
ch, vs_mean, vl_pi, beta penalty= 0 54.6617431640625 tensor(2.2414) tensor(61242.0430)
ch, vs_mean, vl_pi, beta penalty= 0 68.83724975585938 tensor(5.4230) tensor(156688.7500)
ch, vs_mean, vl_pi, beta penalty= 0 68.29399108886719 tensor(5.2106) tensor(150316.5625)
ch, vs_mean, vl_pi, beta penalty= 0 68.66980743408203 tensor(5.1382) tensor(148147.0469)
ch, vs_mean, vl_pi, beta penalty= 0 67.56090545654297 tensor(5.0380) tensor(145138.6875)
ch, vs_mean, vl_pi, beta penalty= 0 66.50596618652344 tensor(4.9567) tensor(142701.1250)
ch, vs_mean, vl_pi, beta penalty= 0 61.0301513671875 tensor(5.4681) tensor(158042.1094)
ch, vs_mean, vl_pi, beta penalty= 0 60.971553802490234 tensor(5.3752) tensor(155256.6875)
ch, vs_mean, vl_pi, beta penalty= 0 61.30081558227539 tensor(5.2538) tensor(151615.0781)
ch, vs_mean, vl_pi, beta penalty= 0 60.54403305053711 tensor(5.2160) tensor(150479.8750)
ch, vs_mean, vl_pi, beta penalty= 0 61.276554107666016 tensor(5.1557) tensor(148672.1875)
ch, vs_mean, vl_pi, beta penalty= 0 60.79350280761719 tensor(1.8317) tensor(48951.8828)
ch, vs_mean, vl_pi, beta penalty= 0 58.653526306152344 tensor(2.0012) tensor(54036.0039)
ch, vs_mean, vl_pi, beta penalty= 0 57.842586517333984 tensor(2.0908) tensor(56723.5352)
ch, vs_mean, vl_pi, beta penalty= 0 56.88916015625 tensor(2.0815) tensor(56445.6719)
ch, vs_mean, vl_pi, beta penalty= 0 55.51637649536133 tensor(2.0952) tensor(56854.9336)
ch, vs_mean, vl_pi, beta penalty= 0 54.883758544921875 tensor(2.6166) tensor(72498.6094)
ch, vs_mean, vl_pi, beta penalty= 0 55.35203552246094 tensor(2.5940) tensor(71819.4688)
ch, vs_mean, vl_pi, beta penalty= 0 56.210205078125 tensor(2.5685) tensor(71054.0234)
ch, vs_mean, vl_pi, beta penalty= 0 57.020572662353516 tensor(2.5553) tensor(70660.4922)
ch, vs_mean, vl_pi, beta penalty= 0 56.74799728393555 tensor(2.5389) tensor(70166.6875)
ch, vs_mean, vl_pi, beta penalty= 0 61.19795608520508 tensor(4.4316) tensor(126946.7891)
ch, vs_mean, vl_pi, beta penalty= 0 61.22005081176758 tensor(4.3526) tensor(124576.8906)
ch, vs_mean, vl_pi, beta penalty= 0 61.149749755859375 tensor(4.2423) tensor(121268.3906)
ch, vs_mean, vl_pi, beta penalty= 0 61.958927154541016 tensor(4.1462) tensor(118387.4375)
ch, vs_mean, vl_pi, beta penalty= 0 61.72264099121094 tensor(4.0815) tensor(116444.1016)
ch, vs_mean, vl_pi, beta penalty= 0 63.848289489746094 tensor(2.1277) tensor(57832.3750)
ch, vs_mean, vl_pi, beta penalty= 0 64.62782287597656 tensor(2.0793) tensor(56378.1172)
ch, vs_mean, vl_pi, beta penalty= 0 65.57241821289062 tensor(2.1067) tensor(57202.2852)
ch, vs_mean, vl_pi, beta penalty= 0 65.71507263183594 tensor(2.0932) tensor(56795.8477)
ch, vs_mean, vl_pi, beta penalty= 0 65.34991455078125 tensor(2.0868) tensor(56605.3750)
ch, vs_mean, vl_pi, beta penalty= 0 70.63258361816406 tensor(4.3787) tensor(125360.1719)
ch, vs_mean, vl_pi, beta penalty= 0 70.12129974365234 tensor(4.3016) tensor(123048.1016)
ch, vs_mean, vl_pi, beta penalty= 0 69.27413940429688 tensor(4.2099) tensor(120295.9844)
ch, vs_mean, vl_pi, beta penalty= 0 69.13600158691406 tensor(4.0535) tensor(115604.2188)
ch, vs_mean, vl_pi, beta penalty= 0 67.96379852294922 tensor(3.9563) tensor(112689.3750)
ch, vs_mean, vl_pi, beta penalty= 0 68.6685791015625 tensor(1.6001) tensor(42002.3867)
ch, vs_mean, vl_pi, beta penalty= 0 68.00777435302734 tensor(1.6683) tensor(44049.2500)
ch, vs_mean, vl_pi, beta penalty= 0 67.78498840332031 tensor(1.7047) tensor(45140.8906)
ch, vs_mean, vl_pi, beta penalty= 0 67.53279113769531 tensor(1.7196) tensor(45586.8867)
ch, vs_mean, vl_pi, beta penalty= 0 67.99140930175781 tensor(1.7266) tensor(45799.0703)
ch, vs_mean, vl_pi, beta penalty= 0 67.9712142944336 tensor(1.4973) tensor(38919.2969)
