n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 55.94973373413086 tensor(1.6521) tensor(43563.5117)
ch, vs_mean, vl_pi, beta penalty= 0 56.37549591064453 tensor(1.6335) tensor(43003.9375)
ch, vs_mean, vl_pi, beta penalty= 0 55.572021484375 tensor(1.5750) tensor(41250.0078)
ch, vs_mean, vl_pi, beta penalty= 0 55.14116287231445 tensor(1.5444) tensor(40331.9766)
ch, vs_mean, vl_pi, beta penalty= 0 55.45610427856445 tensor(1.4420) tensor(37258.7148)
ch, vs_mean, vl_pi, beta penalty= 0 52.884681701660156 tensor(2.1342) tensor(58025.0352)
ch, vs_mean, vl_pi, beta penalty= 0 52.3587532043457 tensor(2.2055) tensor(60165.3047)
ch, vs_mean, vl_pi, beta penalty= 0 53.08501052856445 tensor(2.2715) tensor(62143.8867)
ch, vs_mean, vl_pi, beta penalty= 0 53.056522369384766 tensor(2.2721) tensor(62163.0273)
ch, vs_mean, vl_pi, beta penalty= 0 53.80531692504883 tensor(2.3576) tensor(64728.2969)
ch, vs_mean, vl_pi, beta penalty= 0 57.838623046875 tensor(3.1155) tensor(87464.3672)
ch, vs_mean, vl_pi, beta penalty= 0 58.423336029052734 tensor(3.1089) tensor(87267.6953)
ch, vs_mean, vl_pi, beta penalty= 0 59.485591888427734 tensor(3.0866) tensor(86596.6719)
ch, vs_mean, vl_pi, beta penalty= 0 60.435794830322266 tensor(3.0609) tensor(85826.7656)
ch, vs_mean, vl_pi, beta penalty= 0 60.1928825378418 tensor(3.0011) tensor(84034.3672)
ch, vs_mean, vl_pi, beta penalty= 0 54.7525634765625 tensor(3.1424) tensor(88270.5859)
ch, vs_mean, vl_pi, beta penalty= 0 54.98233413696289 tensor(3.0853) tensor(86558.4688)
ch, vs_mean, vl_pi, beta penalty= 0 53.705528259277344 tensor(3.0991) tensor(86972.6016)
ch, vs_mean, vl_pi, beta penalty= 0 53.359859466552734 tensor(3.0529) tensor(85587.1016)
ch, vs_mean, vl_pi, beta penalty= 0 53.454185485839844 tensor(3.0299) tensor(84895.5312)
ch, vs_mean, vl_pi, beta penalty= 0 58.20844650268555 tensor(2.1151) tensor(57453.8555)
ch, vs_mean, vl_pi, beta penalty= 0 59.41664123535156 tensor(2.1270) tensor(57809.8359)
ch, vs_mean, vl_pi, beta penalty= 0 59.74008560180664 tensor(2.1539) tensor(58617.9961)
ch, vs_mean, vl_pi, beta penalty= 0 60.018592834472656 tensor(2.1879) tensor(59637.4531)
ch, vs_mean, vl_pi, beta penalty= 0 60.457611083984375 tensor(2.1659) tensor(58976.9570)
ch, vs_mean, vl_pi, beta penalty= 0 58.424598693847656 tensor(1.3912) tensor(35735.5391)
ch, vs_mean, vl_pi, beta penalty= 0 58.38728713989258 tensor(1.3821) tensor(35462.4922)
ch, vs_mean, vl_pi, beta penalty= 0 57.986968994140625 tensor(1.3461) tensor(34382.0195)
ch, vs_mean, vl_pi, beta penalty= 0 58.846717834472656 tensor(1.3251) tensor(33754.2344)
ch, vs_mean, vl_pi, beta penalty= 0 58.55177307128906 tensor(1.2914) tensor(32740.7891)
ch, vs_mean, vl_pi, beta penalty= 0 61.43999099731445 tensor(3.6425) tensor(103275.5078)
ch, vs_mean, vl_pi, beta penalty= 0 62.00852584838867 tensor(3.5745) tensor(101235.5938)
ch, vs_mean, vl_pi, beta penalty= 0 61.475582122802734 tensor(3.4681) tensor(98042.7500)
ch, vs_mean, vl_pi, beta penalty= 0 62.6197395324707 tensor(3.4372) tensor(97116.6797)
ch, vs_mean, vl_pi, beta penalty= 0 62.43107223510742 tensor(3.4226) tensor(96676.6250)
ch, vs_mean, vl_pi, beta penalty= 0 62.268611907958984 tensor(3.3709) tensor(95127.0781)
ch, vs_mean, vl_pi, beta penalty= 0 63.1571159362793 tensor(3.3623) tensor(94868.2344)
ch, vs_mean, vl_pi, beta penalty= 0 63.251895904541016 tensor(3.3704) tensor(95112.9375)
ch, vs_mean, vl_pi, beta penalty= 0 63.796363830566406 tensor(3.3790) tensor(95370.5625)
ch, vs_mean, vl_pi, beta penalty= 0 63.826499938964844 tensor(3.3367) tensor(94102.1953)
ch, vs_mean, vl_pi, beta penalty= 0 68.34999084472656 tensor(1.8482) tensor(49444.8828)
ch, vs_mean, vl_pi, beta penalty= 0 69.17250061035156 tensor(1.8595) tensor(49783.9453)
ch, vs_mean, vl_pi, beta penalty= 0 69.96446228027344 tensor(1.8931) tensor(50794.0703)
ch, vs_mean, vl_pi, beta penalty= 0 70.9033203125 tensor(1.9287) tensor(51861.5586)
ch, vs_mean, vl_pi, beta penalty= 0 70.7596435546875 tensor(2.0104) tensor(54311.1836)
ch, vs_mean, vl_pi, beta penalty= 0 68.16647338867188 tensor(3.6675) tensor(104026.3750)
ch, vs_mean, vl_pi, beta penalty= 0 68.5346450805664 tensor(3.6082) tensor(102246.6328)
