2026-03-09 12:57:53,489 - INFO - Ep 30 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:57:53,511 - INFO - Ep 31 | Reward: 12.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 12:57:53,526 - INFO - Ep 32 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,537 - INFO - Ep 33 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,551 - INFO - Ep 34 | Reward: 9.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 12:57:53,563 - INFO - Ep 35 | Reward: 6.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 12:57:53,572 - INFO - Ep 36 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 12:57:53,586 - INFO - Ep 37 | Reward: 9.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 12:57:53,596 - INFO - Ep 38 | Reward: 4.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,606 - INFO - Ep 39 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,623 - INFO - Ep 40 | Reward: 12.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 12:57:53,634 - INFO - Ep 41 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,650 - INFO - Ep 42 | Reward: 10.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 12:57:53,661 - INFO - Ep 43 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,674 - INFO - Ep 44 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,688 - INFO - Ep 45 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,702 - INFO - Ep 46 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,713 - INFO - Ep 47 | Reward: 6.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 12:57:53,722 - INFO - Ep 48 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,732 - INFO - Ep 49 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,748 - INFO - Ep 50 | Reward: 12.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 12:57:54,408 - INFO - Ep 51 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 12:57:54,418 - INFO - Ep 52 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.960 | Optimized: Reward
