n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 2 seed= 1 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.992047930494815 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.992047930494815 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 0.9195184707641602 tensor(3.0586) tensor(85758.0938)
ch, vs_mean, vl_pi, beta penalty= 0 3.660374879837036 tensor(2.3184) tensor(63552.9531)
ch, vs_mean, vl_pi, beta penalty= 0 7.055079936981201 tensor(2.2866) tensor(62598.8086)
ch, vs_mean, vl_pi, beta penalty= 0 10.052946090698242 tensor(2.2963) tensor(62889.5820)
ch, vs_mean, vl_pi, beta penalty= 0 12.533675193786621 tensor(2.3096) tensor(63287.2227)
ch, vs_mean, vl_pi, beta penalty= 0 13.64844036102295 tensor(2.1496) tensor(58488.1406)
ch, vs_mean, vl_pi, beta penalty= 0 15.802063941955566 tensor(2.0174) tensor(54523.4102)
ch, vs_mean, vl_pi, beta penalty= 0 17.283662796020508 tensor(1.9428) tensor(52282.5508)
ch, vs_mean, vl_pi, beta penalty= 0 17.983243942260742 tensor(1.8842) tensor(50524.7148)
ch, vs_mean, vl_pi, beta penalty= 0 18.733375549316406 tensor(1.7054) tensor(45162.7188)
ch, vs_mean, vl_pi, beta penalty= 0 24.95471954345703 tensor(1.9593) tensor(52778.1094)
ch, vs_mean, vl_pi, beta penalty= 0 26.430089950561523 tensor(1.6610) tensor(43830.6172)
ch, vs_mean, vl_pi, beta penalty= 0 27.970169067382812 tensor(1.5569) tensor(40708.3945)
ch, vs_mean, vl_pi, beta penalty= 0 29.5447998046875 tensor(1.5012) tensor(39035.2031)
ch, vs_mean, vl_pi, beta penalty= 0 30.380207061767578 tensor(1.4788) tensor(38363.2656)
ch, vs_mean, vl_pi, beta penalty= 0 28.025779724121094 tensor(1.4346) tensor(37039.0117)
ch, vs_mean, vl_pi, beta penalty= 0 28.38933753967285 tensor(1.3748) tensor(35245.3789)
ch, vs_mean, vl_pi, beta penalty= 0 28.63018035888672 tensor(1.3247) tensor(33741.5664)
ch, vs_mean, vl_pi, beta penalty= 0 28.587160110473633 tensor(1.3094) tensor(33280.8047)
ch, vs_mean, vl_pi, beta penalty= 0 28.926376342773438 tensor(1.2669) tensor(32007.5762)
ch, vs_mean, vl_pi, beta penalty= 0 24.798433303833008 tensor(1.3687) tensor(35060.0664)
ch, vs_mean, vl_pi, beta penalty= 0 25.989553451538086 tensor(1.3000) tensor(32999.5859)
ch, vs_mean, vl_pi, beta penalty= 0 26.46686553955078 tensor(1.2614) tensor(31843.4902)
ch, vs_mean, vl_pi, beta penalty= 0 26.97826385498047 tensor(1.1884) tensor(29651.1074)
ch, vs_mean, vl_pi, beta penalty= 0 27.505117416381836 tensor(1.1250) tensor(27751.3164)
ch, vs_mean, vl_pi, beta penalty= 0 30.99271011352539 tensor(1.2431) tensor(31293.3750)
ch, vs_mean, vl_pi, beta penalty= 0 31.563499450683594 tensor(1.1998) tensor(29994.1895)
ch, vs_mean, vl_pi, beta penalty= 0 30.72719383239746 tensor(1.1706) tensor(29118.2422)
ch, vs_mean, vl_pi, beta penalty= 0 30.870582580566406 tensor(1.1416) tensor(28249.4961)
ch, vs_mean, vl_pi, beta penalty= 0 31.131855010986328 tensor(1.1329) tensor(27986.9082)
ch, vs_mean, vl_pi, beta penalty= 0 41.532432556152344 tensor(0.7525) tensor(16574.0352)
ch, vs_mean, vl_pi, beta penalty= 0 41.36767578125 tensor(0.7121) tensor(15364.5000)
ch, vs_mean, vl_pi, beta penalty= 0 41.099273681640625 tensor(0.7047) tensor(15140.6064)
ch, vs_mean, vl_pi, beta penalty= 0 41.62057876586914 tensor(0.6602) tensor(13806.4385)
ch, vs_mean, vl_pi, beta penalty= 0 41.878787994384766 tensor(0.6490) tensor(13469.9268)
ch, vs_mean, vl_pi, beta penalty= 0 37.00581741333008 tensor(0.6204) tensor(12613.2002)
ch, vs_mean, vl_pi, beta penalty= 0 37.44437026977539 tensor(0.5917) tensor(11751.9043)
ch, vs_mean, vl_pi, beta penalty= 0 37.267921447753906 tensor(0.5686) tensor(11059.2129)
ch, vs_mean, vl_pi, beta penalty= 0 36.52499771118164 tensor(0.5587) tensor(10761.2480)
ch, vs_mean, vl_pi, beta penalty= 0 36.315738677978516 tensor(0.5134) tensor(9402.4248)
ch, vs_mean, vl_pi, beta penalty= 0 39.52472686767578 tensor(1.0720) tensor(26159.3477)
ch, vs_mean, vl_pi, beta penalty= 0 39.51247024536133 tensor(1.0764) tensor(26293.1504)
ch, vs_mean, vl_pi, beta penalty= 0 39.72015380859375 tensor(1.1914) tensor(29740.7246)
ch, vs_mean, vl_pi, beta penalty= 0 38.89250564575195 tensor(1.2025) tensor(30075.4590)
ch, vs_mean, vl_pi, beta penalty= 0 39.26458740234375 tensor(1.2298) tensor(30893.5508)
ch, vs_mean, vl_pi, beta penalty= 0 34.02783966064453 tensor(1.2719) tensor(32157.9629)
ch, vs_mean, vl_pi, beta penalty= 0 34.90756607055664 tensor(1.6710) tensor(44131.4336)
ch, vs_mean, vl_pi, beta penalty= 0 35.73349380493164 tensor(2.1629) tensor(58887.2539)
ch, vs_mean, vl_pi, beta penalty= 0 36.34364700317383 tensor(2.3366) tensor(64096.6914)
ch, vs_mean, vl_pi, beta penalty= 0 37.161773681640625 tensor(2.4225) tensor(66673.5391)
ch, vs_mean, vl_pi, beta penalty= 0 37.45866775512695 tensor(3.5387) tensor(100160.5469)
ch, vs_mean, vl_pi, beta penalty= 0 39.021358489990234 tensor(3.4467) tensor(97400.3984)
ch, vs_mean, vl_pi, beta penalty= 0 39.620731353759766 tensor(3.2485) tensor(91456.0938)
ch, vs_mean, vl_pi, beta penalty= 0 40.41993713378906 tensor(3.2407) tensor(91221.6328)
ch, vs_mean, vl_pi, beta penalty= 0 41.41850280761719 tensor(3.2085) tensor(90253.6875)
ch, vs_mean, vl_pi, beta penalty= 0 51.841129302978516 tensor(1.0541) tensor(25623.3945)
ch, vs_mean, vl_pi, beta penalty= 0 51.83555603027344 tensor(0.9672) tensor(23014.5605)
ch, vs_mean, vl_pi, beta penalty= 0 50.95655059814453 tensor(0.9461) tensor(22384.4590)
ch, vs_mean, vl_pi, beta penalty= 0 49.431556701660156 tensor(0.9124) tensor(21372.3340)
ch, vs_mean, vl_pi, beta penalty= 0 48.68801498413086 tensor(0.8556) tensor(19669.3516)
ch, vs_mean, vl_pi, beta penalty= 0 49.94899368286133 tensor(1.7884) tensor(47651.9414)
ch, vs_mean, vl_pi, beta penalty= 0 50.12051010131836 tensor(1.8544) tensor(49631.7539)
ch, vs_mean, vl_pi, beta penalty= 0 50.05596160888672 tensor(1.9617) tensor(52849.7773)
ch, vs_mean, vl_pi, beta penalty= 0 49.81965255737305 tensor(1.9014) tensor(51042.6484)
ch, vs_mean, vl_pi, beta penalty= 0 49.86042785644531 tensor(1.9411) tensor(52233.9609)
ch, vs_mean, vl_pi, beta penalty= 0 49.898155212402344 tensor(1.4869) tensor(38607.9531)
ch, vs_mean, vl_pi, beta penalty= 0 49.56089782714844 tensor(1.5982) tensor(41945.1016)
ch, vs_mean, vl_pi, beta penalty= 0 49.22504425048828 tensor(1.4569) tensor(37708.1602)
ch, vs_mean, vl_pi, beta penalty= 0 48.9819450378418 tensor(1.4019) tensor(36057.2109)
ch, vs_mean, vl_pi, beta penalty= 0 48.41810989379883 tensor(1.4198) tensor(36595.0586)
ch, vs_mean, vl_pi, beta penalty= 0 50.851966857910156 tensor(1.2630) tensor(31889.5098)
ch, vs_mean, vl_pi, beta penalty= 0 51.89086151123047 tensor(1.2143) tensor(30428.1348)
ch, vs_mean, vl_pi, beta penalty= 0 51.50128173828125 tensor(1.1413) tensor(28238.0273)
ch, vs_mean, vl_pi, beta penalty= 0 51.533058166503906 tensor(1.1146) tensor(27437.5977)
ch, vs_mean, vl_pi, beta penalty= 0 51.15273666381836 tensor(1.1270) tensor(27808.5371)
ch, vs_mean, vl_pi, beta penalty= 0 56.04755401611328 tensor(0.8384) tensor(19152.2754)
ch, vs_mean, vl_pi, beta penalty= 0 55.9528694152832 tensor(0.8546) tensor(19637.4473)
ch, vs_mean, vl_pi, beta penalty= 0 56.28296661376953 tensor(0.8390) tensor(19168.6562)
ch, vs_mean, vl_pi, beta penalty= 0 55.513694763183594 tensor(0.8008) tensor(18025.3164)
ch, vs_mean, vl_pi, beta penalty= 0 55.809757232666016 tensor(0.8087) tensor(18259.5625)
ch, vs_mean, vl_pi, beta penalty= 0 54.6664924621582 tensor(1.5025) tensor(39075.3789)
ch, vs_mean, vl_pi, beta penalty= 0 54.2988395690918 tensor(1.9252) tensor(51755.2344)
ch, vs_mean, vl_pi, beta penalty= 0 54.63792037963867 tensor(2.0658) tensor(55972.6172)
ch, vs_mean, vl_pi, beta penalty= 0 54.40890121459961 tensor(2.1621) tensor(58861.7422)
ch, vs_mean, vl_pi, beta penalty= 0 54.947418212890625 tensor(2.2062) tensor(60184.9805)
ch, vs_mean, vl_pi, beta penalty= 0 54.02625274658203 tensor(0.9383) tensor(22148.4707)
ch, vs_mean, vl_pi, beta penalty= 0 54.77264404296875 tensor(0.8874) tensor(20621.4395)
ch, vs_mean, vl_pi, beta penalty= 0 55.516883850097656 tensor(0.8849) tensor(20547.5137)
ch, vs_mean, vl_pi, beta penalty= 0 56.00619888305664 tensor(0.8292) tensor(18876.5332)
ch, vs_mean, vl_pi, beta penalty= 0 57.04758834838867 tensor(0.8385) tensor(19154.1543)
ch, vs_mean, vl_pi, beta penalty= 0 57.73681640625 tensor(1.6106) tensor(42316.5859)
ch, vs_mean, vl_pi, beta penalty= 0 58.04534912109375 tensor(1.4940) tensor(38818.7695)
ch, vs_mean, vl_pi, beta penalty= 0 58.70730972290039 tensor(1.4579) tensor(37737.0156)
ch, vs_mean, vl_pi, beta penalty= 0 58.39897155761719 tensor(1.4369) tensor(37108.0703)
ch, vs_mean, vl_pi, beta penalty= 0 58.498382568359375 tensor(1.4345) tensor(37035.4453)
