n0050
Sun Sep 20 10:22:59 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidWithCost
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
lambda=0.00000, eps=1.00000, pred_cost=91.18807, p_value=0.99980, constraint_value=0.00000, constraint_violation=0.00000
evaluate_num:2 	 evaluate_reward:4957.64744846616 	 evaluate_cost:2.6735391709953547 	 evaluate_max_cost:0.004132414702326059
lambda=0.00000, eps=1.00000, pred_cost=95.22273, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=98.60040, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=101.62482, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=109.21494, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=113.14974, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=120.64361, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=125.83636, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=126.26642, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=131.45950, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=138.14529, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=143.06204, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=148.47888, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=156.83893, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=159.61014, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=162.42216, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=166.27803, p_value=0.99984, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=170.72847, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=178.35422, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=176.06224, p_value=0.99984, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=178.89459, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.69171, p_value=0.99984, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.40662, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=187.08707, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=194.35313, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.43285, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=191.70708, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=189.70993, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.58563, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.37970, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=191.61763, p_value=0.99984, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=193.15376, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=192.74611, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=194.67775, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=195.36589, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=193.56052, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=194.33150, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.41144, p_value=0.99985, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=195.74493, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.19336, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=191.86530, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=189.39873, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=190.44020, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=187.87718, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=189.57008, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=186.31084, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
