n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 51.213375091552734 tensor(2.7622) tensor(76864.9219)
ch, vs_mean, vl_pi, beta penalty= 0 51.464839935302734 tensor(2.7609) tensor(76827.2969)
ch, vs_mean, vl_pi, beta penalty= 0 52.32970428466797 tensor(2.8171) tensor(78512.4922)
ch, vs_mean, vl_pi, beta penalty= 0 52.50614929199219 tensor(2.7824) tensor(77470.7422)
ch, vs_mean, vl_pi, beta penalty= 0 52.83229064941406 tensor(2.7685) tensor(77056.3125)
ch, vs_mean, vl_pi, beta penalty= 0 60.10015869140625 tensor(1.6752) tensor(44257.4727)
ch, vs_mean, vl_pi, beta penalty= 0 59.362300872802734 tensor(1.6894) tensor(44681.2461)
ch, vs_mean, vl_pi, beta penalty= 0 58.32849884033203 tensor(1.6305) tensor(42914.8203)
ch, vs_mean, vl_pi, beta penalty= 0 57.53010559082031 tensor(1.6246) tensor(42737.5312)
ch, vs_mean, vl_pi, beta penalty= 0 56.74231719970703 tensor(1.6061) tensor(42182.2227)
ch, vs_mean, vl_pi, beta penalty= 0 46.93781280517578 tensor(1.7370) tensor(46110.3945)
ch, vs_mean, vl_pi, beta penalty= 0 48.00008773803711 tensor(1.6469) tensor(43405.8242)
ch, vs_mean, vl_pi, beta penalty= 0 49.549781799316406 tensor(1.6124) tensor(42372.1133)
ch, vs_mean, vl_pi, beta penalty= 0 50.85877227783203 tensor(1.5808) tensor(41424.1289)
ch, vs_mean, vl_pi, beta penalty= 0 51.980003356933594 tensor(1.5367) tensor(40100.0938)
ch, vs_mean, vl_pi, beta penalty= 0 56.582054138183594 tensor(1.3288) tensor(33865.3984)
ch, vs_mean, vl_pi, beta penalty= 0 56.3483772277832 tensor(1.2926) tensor(32777.0625)
ch, vs_mean, vl_pi, beta penalty= 0 56.463523864746094 tensor(1.2850) tensor(32549.4004)
ch, vs_mean, vl_pi, beta penalty= 0 55.89039993286133 tensor(1.2554) tensor(31661.2754)
ch, vs_mean, vl_pi, beta penalty= 0 56.287696838378906 tensor(1.2447) tensor(31341.3223)
ch, vs_mean, vl_pi, beta penalty= 0 73.3790512084961 tensor(1.0315) tensor(24945.8125)
ch, vs_mean, vl_pi, beta penalty= 0 71.7562255859375 tensor(0.9802) tensor(23404.8750)
ch, vs_mean, vl_pi, beta penalty= 0 69.17635345458984 tensor(1.0039) tensor(24118.4648)
ch, vs_mean, vl_pi, beta penalty= 0 67.84503173828125 tensor(0.9669) tensor(23006.7852)
ch, vs_mean, vl_pi, beta penalty= 0 67.05143737792969 tensor(0.9773) tensor(23319.9238)
ch, vs_mean, vl_pi, beta penalty= 0 63.00394058227539 tensor(1.0514) tensor(25542.4609)
ch, vs_mean, vl_pi, beta penalty= 0 62.5266227722168 tensor(1.1050) tensor(27149.6250)
ch, vs_mean, vl_pi, beta penalty= 0 62.636444091796875 tensor(1.0388) tensor(25164.0566)
ch, vs_mean, vl_pi, beta penalty= 0 62.70314025878906 tensor(1.0768) tensor(26302.6133)
ch, vs_mean, vl_pi, beta penalty= 0 61.606807708740234 tensor(1.0227) tensor(24679.8867)
ch, vs_mean, vl_pi, beta penalty= 0 64.65319061279297 tensor(1.4465) tensor(37395.5430)
ch, vs_mean, vl_pi, beta penalty= 0 63.30941390991211 tensor(1.8364) tensor(49090.5781)
ch, vs_mean, vl_pi, beta penalty= 0 62.002079010009766 tensor(1.8906) tensor(50717.3711)
ch, vs_mean, vl_pi, beta penalty= 0 61.80911636352539 tensor(1.9586) tensor(52757.3242)
ch, vs_mean, vl_pi, beta penalty= 0 61.863487243652344 tensor(2.0078) tensor(54234.6016)
