n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
ch, vs_mean, vl_pi, beta penalty= 0 83.28314208984375 22.022130966186523 542.3032741546631
ch, vs_mean, vl_pi, beta penalty= 0 88.4861831665039 34.93157958984375 865.0394897460938
ch, vs_mean, vl_pi, beta penalty= 0 90.67300415039062 21.073402404785156 518.5850601196289
ch, vs_mean, vl_pi, beta penalty= 0 95.6424560546875 27.64474105834961 682.8685264587402
ch, vs_mean, vl_pi, beta penalty= 0 98.88445281982422 38.835933685302734 962.6483421325684
ch, vs_mean, vl_pi, beta penalty= 0 98.21586608886719 25.398582458496094 626.7145614624023
ch, vs_mean, vl_pi, beta penalty= 0 91.13050842285156 35.29539489746094 874.1348724365234
ch, vs_mean, vl_pi, beta penalty= 0 93.83004760742188 58.010826110839844 1442.020652770996
ch, vs_mean, vl_pi, beta penalty= 0 96.01028442382812 55.892486572265625 1389.0621643066406
ch, vs_mean, vl_pi, beta penalty= 0 94.72245788574219 79.66541290283203 1983.3853225708008
evaluate_num:6 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 92.74514770507812 91.98458099365234 2291.3645248413086
ch, vs_mean, vl_pi, beta penalty= 1 92.6202621459961 50.98481750488281 1266.3704376220703
ch, vs_mean, vl_pi, beta penalty= 1 92.53671264648438 31.372087478637695 776.0521869659424
ch, vs_mean, vl_pi, beta penalty= 1 91.6947021484375 37.350852966308594 925.5213241577148
ch, vs_mean, vl_pi, beta penalty= 1 91.03153991699219 28.660764694213867 708.2691173553467
ch, vs_mean, vl_pi, beta penalty= 1 84.37409210205078 24.07787322998047 593.6968307495117
ch, vs_mean, vl_pi, beta penalty= 1 89.66270446777344 25.055614471435547 618.1403617858887
ch, vs_mean, vl_pi, beta penalty= 1 89.90843963623047 19.282960891723633 473.8240222930909
ch, vs_mean, vl_pi, beta penalty= 1 90.02587890625 19.909770965576172 489.49427413940435
ch, vs_mean, vl_pi, beta penalty= 1 90.97517395019531 20.729148864746094 509.9787216186524
ch, vs_mean, vl_pi, beta penalty= 1 91.8397445678711 13.840202331542969 337.7550582885742
ch, vs_mean, vl_pi, beta penalty= 1 91.21367645263672 18.016592025756836 442.16480064392096
ch, vs_mean, vl_pi, beta penalty= 1 91.82215118408203 19.563711166381836 480.84277915954596
ch, vs_mean, vl_pi, beta penalty= 1 91.9480209350586 21.810422897338867 537.0105724334717
ch, vs_mean, vl_pi, beta penalty= 1 91.40756225585938 21.101581573486328 519.2895393371582
ch, vs_mean, vl_pi, beta penalty= 1 90.3434066772461 18.512554168701172 454.56385421752935
ch, vs_mean, vl_pi, beta penalty= 1 87.40397644042969 12.499979019165039 304.249475479126
ch, vs_mean, vl_pi, beta penalty= 1 84.9478530883789 19.021827697753906 467.2956924438477
ch, vs_mean, vl_pi, beta penalty= 1 86.05494689941406 19.03212547302246 467.5531368255616
ch, vs_mean, vl_pi, beta penalty= 1 87.9699478149414 18.373455047607422 451.0863761901856
ch, vs_mean, vl_pi, beta penalty= 1 88.23739624023438 23.666616439819336 583.4154109954834
ch, vs_mean, vl_pi, beta penalty= 1 86.79389190673828 18.000019073486328 441.75047683715826
ch, vs_mean, vl_pi, beta penalty= 1 90.53445434570312 23.996990203857422 591.6747550964355
ch, vs_mean, vl_pi, beta penalty= 1 90.56363677978516 17.617259979248047 432.18149948120123
ch, vs_mean, vl_pi, beta penalty= 1 89.10650634765625 23.941381454467773 590.2845363616943
evaluate_num:7 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 89.75007629394531 15.621644020080566 382.29110050201416
ch, vs_mean, vl_pi, beta penalty= 1 89.36541748046875 12.539926528930664 305.2481632232666
ch, vs_mean, vl_pi, beta penalty= 1 91.2867660522461 20.842185974121094 512.8046493530273
ch, vs_mean, vl_pi, beta penalty= 1 92.46375274658203 16.287761688232422 398.94404220581055
ch, vs_mean, vl_pi, beta penalty= 1 91.82083129882812 24.723217010498047 609.8304252624512
ch, vs_mean, vl_pi, beta penalty= 1 92.4920883178711 14.852069854736328 363.0517463684082
