2026-03-09 16:09:29,916 - INFO - Ep 28 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.2673 | Optimized: Reward
2026-03-09 16:09:29,947 - INFO - Ep 29 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.2772 | Optimized: Reward
2026-03-09 16:09:29,961 - INFO - Ep 30 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Beta: 1.2871 | Optimized: Reward
2026-03-09 16:09:29,974 - INFO - Ep 31 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.2970 | Optimized: Reward
2026-03-09 16:09:29,986 - INFO - Ep 32 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Beta: 1.3069 | Optimized: Reward
2026-03-09 16:09:30,002 - INFO - Ep 33 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.3168 | Optimized: Reward
2026-03-09 16:09:30,015 - INFO - Ep 34 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 1.3267 | Optimized: Reward
2026-03-09 16:09:30,031 - INFO - Ep 35 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.338 | Beta: 1.3366 | Optimized: Reward
2026-03-09 16:09:30,045 - INFO - Ep 36 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.3465 | Optimized: Reward
2026-03-09 16:09:30,069 - INFO - Ep 37 | Reward: 17.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 8.063 | Beta: 1.3564 | Optimized: Reward
