n0050
Thu Aug 27 11:09:20 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 6 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.883397093632172 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.883397093632172 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 45.073829650878906 tensor(1.1616) tensor(28847.8613)
ch, vs_mean, vl_pi, beta penalty= 0 44.1014404296875 tensor(1.1070) tensor(27208.6875)
ch, vs_mean, vl_pi, beta penalty= 0 43.448326110839844 tensor(1.1004) tensor(27011.8027)
ch, vs_mean, vl_pi, beta penalty= 0 42.885887145996094 tensor(1.0681) tensor(26044.3340)
ch, vs_mean, vl_pi, beta penalty= 0 41.76239776611328 tensor(1.0132) tensor(24395.8184)
ch, vs_mean, vl_pi, beta penalty= 0 43.49186325073242 tensor(1.4365) tensor(37094.9844)
ch, vs_mean, vl_pi, beta penalty= 0 43.76742172241211 tensor(1.3658) tensor(34972.9023)
ch, vs_mean, vl_pi, beta penalty= 0 44.33226776123047 tensor(1.3516) tensor(34548.6406)
ch, vs_mean, vl_pi, beta penalty= 0 44.929073333740234 tensor(1.2979) tensor(32935.8945)
ch, vs_mean, vl_pi, beta penalty= 0 44.92388916015625 tensor(1.2930) tensor(32789.2852)
ch, vs_mean, vl_pi, beta penalty= 0 45.91981506347656 tensor(1.6277) tensor(42830.4219)
ch, vs_mean, vl_pi, beta penalty= 0 46.63325500488281 tensor(1.6642) tensor(43926.1875)
ch, vs_mean, vl_pi, beta penalty= 0 48.52214050292969 tensor(1.7300) tensor(45900.3672)
ch, vs_mean, vl_pi, beta penalty= 0 49.7230224609375 tensor(1.7505) tensor(46515.2070)
ch, vs_mean, vl_pi, beta penalty= 0 51.17545700073242 tensor(1.8084) tensor(48251.4883)
ch, vs_mean, vl_pi, beta penalty= 0 55.22332000732422 tensor(2.0469) tensor(55407.7500)
ch, vs_mean, vl_pi, beta penalty= 0 54.54291915893555 tensor(2.2503) tensor(61510.0898)
ch, vs_mean, vl_pi, beta penalty= 0 53.8323974609375 tensor(2.2869) tensor(62606.8516)
ch, vs_mean, vl_pi, beta penalty= 0 53.290035247802734 tensor(2.3715) tensor(65144.6406)
ch, vs_mean, vl_pi, beta penalty= 0 52.96563720703125 tensor(2.4243) tensor(66730.3203)
ch, vs_mean, vl_pi, beta penalty= 0 48.59927749633789 tensor(2.1863) tensor(59588.8281)
ch, vs_mean, vl_pi, beta penalty= 0 49.64472961425781 tensor(2.2512) tensor(61535.9336)
ch, vs_mean, vl_pi, beta penalty= 0 50.692352294921875 tensor(2.2155) tensor(60466.4531)
ch, vs_mean, vl_pi, beta penalty= 0 51.9511604309082 tensor(2.2208) tensor(60622.8320)
ch, vs_mean, vl_pi, beta penalty= 0 52.46498489379883 tensor(2.2393) tensor(61178.5625)
ch, vs_mean, vl_pi, beta penalty= 0 53.54755401611328 tensor(1.1965) tensor(29894.4551)
ch, vs_mean, vl_pi, beta penalty= 0 54.35009765625 tensor(1.1735) tensor(29205.8633)
ch, vs_mean, vl_pi, beta penalty= 0 54.804420471191406 tensor(1.1504) tensor(28510.8750)
ch, vs_mean, vl_pi, beta penalty= 0 55.218353271484375 tensor(1.1130) tensor(27389.2363)
ch, vs_mean, vl_pi, beta penalty= 0 55.86164855957031 tensor(1.0910) tensor(26729.3203)
ch, vs_mean, vl_pi, beta penalty= 0 61.387882232666016 tensor(1.4523) tensor(37569.8359)
ch, vs_mean, vl_pi, beta penalty= 0 60.179508209228516 tensor(1.6203) tensor(42608.3984)
ch, vs_mean, vl_pi, beta penalty= 0 59.25697326660156 tensor(1.8127) tensor(48379.7148)
ch, vs_mean, vl_pi, beta penalty= 0 58.95262908935547 tensor(1.8681) tensor(50041.7070)
ch, vs_mean, vl_pi, beta penalty= 0 58.50959777832031 tensor(1.9450) tensor(52348.6680)
ch, vs_mean, vl_pi, beta penalty= 0 56.99332046508789 tensor(1.8905) tensor(50716.2734)
ch, vs_mean, vl_pi, beta penalty= 0 57.1785774230957 tensor(1.8543) tensor(49628.5469)
ch, vs_mean, vl_pi, beta penalty= 0 56.81172561645508 tensor(1.7905) tensor(47715.9922)
ch, vs_mean, vl_pi, beta penalty= 0 57.12086868286133 tensor(1.7476) tensor(46428.0586)
ch, vs_mean, vl_pi, beta penalty= 0 57.330833435058594 tensor(1.7256) tensor(45768.0625)
ch, vs_mean, vl_pi, beta penalty= 0 58.28514099121094 tensor(1.9258) tensor(51774.8125)
ch, vs_mean, vl_pi, beta penalty= 0 58.92537307739258 tensor(1.9702) tensor(53105.6523)
ch, vs_mean, vl_pi, beta penalty= 0 59.65800857543945 tensor(1.9878) tensor(53634.6094)
ch, vs_mean, vl_pi, beta penalty= 0 60.34373092651367 tensor(2.0068) tensor(54203.3398)
ch, vs_mean, vl_pi, beta penalty= 0 60.516929626464844 tensor(2.0076) tensor(54228.6875)
ch, vs_mean, vl_pi, beta penalty= 0 60.4990234375 tensor(0.9509) tensor(22527.0098)
ch, vs_mean, vl_pi, beta penalty= 0 61.169185638427734 tensor(0.9248) tensor(21743.1797)
ch, vs_mean, vl_pi, beta penalty= 0 61.21294403076172 tensor(0.8955) tensor(20864.2402)
ch, vs_mean, vl_pi, beta penalty= 0 61.62638473510742 tensor(0.8816) tensor(20449.1016)
ch, vs_mean, vl_pi, beta penalty= 0 61.386871337890625 tensor(0.8554) tensor(19662.4688)
ch, vs_mean, vl_pi, beta penalty= 0 60.71864700317383 tensor(2.5351) tensor(70051.9609)
ch, vs_mean, vl_pi, beta penalty= 0 60.98385238647461 tensor(2.4517) tensor(67552.0391)
ch, vs_mean, vl_pi, beta penalty= 0 61.25799560546875 tensor(2.4046) tensor(66138.0938)
ch, vs_mean, vl_pi, beta penalty= 0 60.894081115722656 tensor(2.3040) tensor(63119.7461)
ch, vs_mean, vl_pi, beta penalty= 0 61.76339340209961 tensor(2.3353) tensor(64058.7344)
ch, vs_mean, vl_pi, beta penalty= 0 83.52070617675781 tensor(0.7249) tensor(15746.4424)
ch, vs_mean, vl_pi, beta penalty= 0 81.93852996826172 tensor(0.6852) tensor(14555.6045)
ch, vs_mean, vl_pi, beta penalty= 0 79.17276000976562 tensor(0.6714) tensor(14140.6484)
ch, vs_mean, vl_pi, beta penalty= 0 77.79810333251953 tensor(0.6460) tensor(13379.8154)
ch, vs_mean, vl_pi, beta penalty= 0 75.50769805908203 tensor(0.6261) tensor(12782.6807)
ch, vs_mean, vl_pi, beta penalty= 0 76.3393783569336 tensor(2.1733) tensor(59197.7852)
ch, vs_mean, vl_pi, beta penalty= 0 74.7428207397461 tensor(2.1899) tensor(59696.3945)
ch, vs_mean, vl_pi, beta penalty= 0 72.36172485351562 tensor(2.2308) tensor(60923.2148)
ch, vs_mean, vl_pi, beta penalty= 0 71.02729797363281 tensor(2.2601) tensor(61801.7773)
ch, vs_mean, vl_pi, beta penalty= 0 70.21635437011719 tensor(2.2726) tensor(62178.5273)
ch, vs_mean, vl_pi, beta penalty= 0 69.66175079345703 tensor(1.0850) tensor(26549.9375)
ch, vs_mean, vl_pi, beta penalty= 0 69.17705535888672 tensor(1.0629) tensor(25887.3848)
ch, vs_mean, vl_pi, beta penalty= 0 70.13374328613281 tensor(1.0383) tensor(25150.1738)
ch, vs_mean, vl_pi, beta penalty= 0 69.82418060302734 tensor(1.0267) tensor(24799.5625)
ch, vs_mean, vl_pi, beta penalty= 0 70.31905364990234 tensor(1.0181) tensor(24543.6523)
ch, vs_mean, vl_pi, beta penalty= 0 71.45429229736328 tensor(1.6519) tensor(43557.3242)
ch, vs_mean, vl_pi, beta penalty= 0 70.85319519042969 tensor(1.6538) tensor(43614.1133)
ch, vs_mean, vl_pi, beta penalty= 0 71.38252258300781 tensor(1.6084) tensor(42253.1523)
ch, vs_mean, vl_pi, beta penalty= 0 71.29206848144531 tensor(1.6117) tensor(42351.7930)
ch, vs_mean, vl_pi, beta penalty= 0 71.10246276855469 tensor(1.5245) tensor(39733.5938)
ch, vs_mean, vl_pi, beta penalty= 0 69.92344665527344 tensor(3.8833) tensor(110498.3438)
ch, vs_mean, vl_pi, beta penalty= 0 68.99141693115234 tensor(3.8442) tensor(109324.8828)
ch, vs_mean, vl_pi, beta penalty= 0 67.82546997070312 tensor(3.8092) tensor(108275.2578)
ch, vs_mean, vl_pi, beta penalty= 0 67.52364349365234 tensor(3.8194) tensor(108582.7500)
ch, vs_mean, vl_pi, beta penalty= 0 67.40553283691406 tensor(3.7818) tensor(107453.4688)
ch, vs_mean, vl_pi, beta penalty= 0 67.62593841552734 tensor(3.5545) tensor(100634.7109)
ch, vs_mean, vl_pi, beta penalty= 0 68.2689208984375 tensor(3.5928) tensor(101783.4219)
ch, vs_mean, vl_pi, beta penalty= 0 69.51763153076172 tensor(3.4539) tensor(97616.8672)
ch, vs_mean, vl_pi, beta penalty= 0 70.14234924316406 tensor(3.4641) tensor(97922.1797)
ch, vs_mean, vl_pi, beta penalty= 0 70.80500793457031 tensor(3.4342) tensor(97025.1016)
ch, vs_mean, vl_pi, beta penalty= 0 70.1977310180664 tensor(1.2917) tensor(32752.1152)
ch, vs_mean, vl_pi, beta penalty= 0 70.00889587402344 tensor(1.2886) tensor(32659.4434)
ch, vs_mean, vl_pi, beta penalty= 0 69.33102416992188 tensor(1.3228) tensor(33683.8398)
ch, vs_mean, vl_pi, beta penalty= 0 69.07642364501953 tensor(1.3077) tensor(33232.1641)
ch, vs_mean, vl_pi, beta penalty= 0 68.27693176269531 tensor(1.3259) tensor(33778.1016)
ch, vs_mean, vl_pi, beta penalty= 0 68.87857055664062 tensor(2.5038) tensor(69115.0234)
ch, vs_mean, vl_pi, beta penalty= 0 69.86952209472656 tensor(2.5552) tensor(70655.6406)
ch, vs_mean, vl_pi, beta penalty= 0 70.55131530761719 tensor(2.6408) tensor(73224.)
ch, vs_mean, vl_pi, beta penalty= 0 71.18840026855469 tensor(2.6761) tensor(74284.2656)
ch, vs_mean, vl_pi, beta penalty= 0 71.49940490722656 tensor(2.6907) tensor(74720.1328)
ch, vs_mean, vl_pi, beta penalty= 0 72.19564056396484 tensor(3.4610) tensor(97829.1719)
ch, vs_mean, vl_pi, beta penalty= 0 72.91064453125 tensor(3.3850) tensor(95549.9531)
ch, vs_mean, vl_pi, beta penalty= 0 73.31526184082031 tensor(3.4198) tensor(96593.9844)
ch, vs_mean, vl_pi, beta penalty= 0 73.523681640625 tensor(3.4430) tensor(97291.4375)
ch, vs_mean, vl_pi, beta penalty= 0 73.27173614501953 tensor(3.4690) tensor(98071.0234)
ch, vs_mean, vl_pi, beta penalty= 0 76.08904266357422 tensor(6.0413) tensor(175238.2656)
