n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=113.4386, vl_pi= 0.63325125 beta_penalty= 15997.537 lambda_mean= [0.69382614] VC_mean= [0.5618098] d= [0.1]
FAC | warm_start_active=False, vs_mean=149.6766, vl_pi= 0.7344246 beta_penalty= 19032.736 lambda_mean= [0.69397175] VC_mean= [0.5612476] d= [0.1]
FAC | warm_start_active=False, vs_mean=149.3217, vl_pi= 0.7344627 beta_penalty= 19033.879 lambda_mean= [0.69397175] VC_mean= [0.56251794] d= [0.1]
FAC | warm_start_active=False, vs_mean=148.5072, vl_pi= 0.7381932 beta_penalty= 19145.795 lambda_mean= [0.69397175] VC_mean= [0.5645462] d= [0.1]
FAC | warm_start_active=False, vs_mean=146.8659, vl_pi= 0.72959256 beta_penalty= 18887.775 lambda_mean= [0.69397175] VC_mean= [0.5700417] d= [0.1]
FAC | warm_start_active=False, vs_mean=144.4825, vl_pi= 0.71676594 beta_penalty= 18502.977 lambda_mean= [0.69397175] VC_mean= [0.5729096] d= [0.1]
FAC | warm_start_active=False, vs_mean=132.4307, vl_pi= 0.6193221 beta_penalty= 15579.663 lambda_mean= [0.6940497] VC_mean= [0.5531957] d= [0.1]
FAC | warm_start_active=False, vs_mean=135.7784, vl_pi= 0.6369098 beta_penalty= 16107.293 lambda_mean= [0.6940497] VC_mean= [0.55897784] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.3910, vl_pi= 0.6558153 beta_penalty= 16674.459 lambda_mean= [0.6940497] VC_mean= [0.56674916] d= [0.1]
FAC | warm_start_active=False, vs_mean=141.9471, vl_pi= 0.660851 beta_penalty= 16825.53 lambda_mean= [0.6940497] VC_mean= [0.57767415] d= [0.1]
FAC | warm_start_active=False, vs_mean=143.0986, vl_pi= 0.67111886 beta_penalty= 17133.564 lambda_mean= [0.6940497] VC_mean= [0.5745862] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.1986, vl_pi= 0.71543795 beta_penalty= 18463.139 lambda_mean= [0.69405156] VC_mean= [0.5792633] d= [0.1]
FAC | warm_start_active=False, vs_mean=152.0375, vl_pi= 0.7138911 beta_penalty= 18416.732 lambda_mean= [0.69405156] VC_mean= [0.5713036] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.1721, vl_pi= 0.72036314 beta_penalty= 18610.893 lambda_mean= [0.69405156] VC_mean= [0.5798965] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.1723, vl_pi= 0.707698 beta_penalty= 18230.94 lambda_mean= [0.69405156] VC_mean= [0.5789261] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.1907, vl_pi= 0.6952767 beta_penalty= 17858.299 lambda_mean= [0.69405156] VC_mean= [0.57026416] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.9117, vl_pi= 0.7078406 beta_penalty= 18235.219 lambda_mean= [0.69410104] VC_mean= [0.5787302] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.0881, vl_pi= 0.6958436 beta_penalty= 17875.307 lambda_mean= [0.69410104] VC_mean= [0.5760546] d= [0.1]
FAC | warm_start_active=False, vs_mean=155.0114, vl_pi= 0.69624114 beta_penalty= 17887.234 lambda_mean= [0.69410104] VC_mean= [0.5763807] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.0374, vl_pi= 0.69590867 beta_penalty= 17877.26 lambda_mean= [0.69410104] VC_mean= [0.57824963] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.7637, vl_pi= 0.6958775 beta_penalty= 17876.324 lambda_mean= [0.69410104] VC_mean= [0.5754677] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.4721, vl_pi= 0.64284635 beta_penalty= 16285.39 lambda_mean= [0.69421804] VC_mean= [0.56628305] d= [0.1]
FAC | warm_start_active=False, vs_mean=152.7239, vl_pi= 0.6346746 beta_penalty= 16040.237 lambda_mean= [0.69421804] VC_mean= [0.55629504] d= [0.1]
FAC | warm_start_active=False, vs_mean=153.6725, vl_pi= 0.6277848 beta_penalty= 15833.543 lambda_mean= [0.69421804] VC_mean= [0.55312395] d= [0.1]
FAC | warm_start_active=False, vs_mean=155.1443, vl_pi= 0.62272054 beta_penalty= 15681.615 lambda_mean= [0.69421804] VC_mean= [0.55246204] d= [0.1]
