n0006
Sat Sep 19 04:38:20 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:402.39193093042604 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 402.39193093042604 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=141.1105, vl_pi= 0.8210635 beta_penalty= 21631.904 lambda_mean= [0.6928718] VC_mean= [0.57677823] d= [0.1]
FAC | warm_start_active=False, vs_mean=133.9144, vl_pi= 0.71366423 beta_penalty= 18409.926 lambda_mean= [0.6929668] VC_mean= [0.5685741] d= [0.1]
FAC | warm_start_active=False, vs_mean=134.8802, vl_pi= 0.693641 beta_penalty= 17809.23 lambda_mean= [0.6929668] VC_mean= [0.55570734] d= [0.1]
FAC | warm_start_active=False, vs_mean=133.5307, vl_pi= 0.6975343 beta_penalty= 17926.03 lambda_mean= [0.6929668] VC_mean= [0.5627228] d= [0.1]
FAC | warm_start_active=False, vs_mean=134.4550, vl_pi= 0.68869054 beta_penalty= 17660.715 lambda_mean= [0.6929668] VC_mean= [0.5533862] d= [0.1]
FAC | warm_start_active=False, vs_mean=131.7138, vl_pi= 0.67537236 beta_penalty= 17261.17 lambda_mean= [0.6929668] VC_mean= [0.5566734] d= [0.1]
FAC | warm_start_active=False, vs_mean=135.0908, vl_pi= 0.65890586 beta_penalty= 16767.176 lambda_mean= [0.6929426] VC_mean= [0.54936385] d= [0.1]
FAC | warm_start_active=False, vs_mean=135.9921, vl_pi= 0.6554786 beta_penalty= 16664.357 lambda_mean= [0.6929426] VC_mean= [0.55154216] d= [0.1]
FAC | warm_start_active=False, vs_mean=138.1438, vl_pi= 0.65168804 beta_penalty= 16550.64 lambda_mean= [0.6929426] VC_mean= [0.5502761] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.9093, vl_pi= 0.6504316 beta_penalty= 16512.947 lambda_mean= [0.6929426] VC_mean= [0.55409676] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.3073, vl_pi= 0.64870256 beta_penalty= 16461.076 lambda_mean= [0.6929426] VC_mean= [0.5534056] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.8288, vl_pi= 0.7751494 beta_penalty= 20254.48 lambda_mean= [0.69271004] VC_mean= [0.55846554] d= [0.1]
FAC | warm_start_active=False, vs_mean=157.3284, vl_pi= 0.796899 beta_penalty= 20906.97 lambda_mean= [0.69271004] VC_mean= [0.55646497] d= [0.1]
FAC | warm_start_active=False, vs_mean=157.7736, vl_pi= 0.7594926 beta_penalty= 19784.777 lambda_mean= [0.69271004] VC_mean= [0.54093814] d= [0.1]
FAC | warm_start_active=False, vs_mean=163.0509, vl_pi= 0.7735614 beta_penalty= 20206.842 lambda_mean= [0.69271004] VC_mean= [0.54267484] d= [0.1]
FAC | warm_start_active=False, vs_mean=167.3649, vl_pi= 0.77439994 beta_penalty= 20231.998 lambda_mean= [0.69271004] VC_mean= [0.5426054] d= [0.1]
FAC | warm_start_active=False, vs_mean=167.9245, vl_pi= 0.6981446 beta_penalty= 17944.338 lambda_mean= [0.6928512] VC_mean= [0.54674697] d= [0.1]
FAC | warm_start_active=False, vs_mean=167.9003, vl_pi= 0.67849195 beta_penalty= 17354.758 lambda_mean= [0.6928512] VC_mean= [0.54130363] d= [0.1]
FAC | warm_start_active=False, vs_mean=166.1020, vl_pi= 0.68658155 beta_penalty= 17597.445 lambda_mean= [0.6928512] VC_mean= [0.5398892] d= [0.1]
FAC | warm_start_active=False, vs_mean=162.3904, vl_pi= 0.6905674 beta_penalty= 17717.021 lambda_mean= [0.6928512] VC_mean= [0.54304737] d= [0.1]
FAC | warm_start_active=False, vs_mean=161.9998, vl_pi= 0.6888639 beta_penalty= 17665.916 lambda_mean= [0.6928512] VC_mean= [0.5457145] d= [0.1]
FAC | warm_start_active=False, vs_mean=162.3128, vl_pi= 0.6755072 beta_penalty= 17265.215 lambda_mean= [0.69283706] VC_mean= [0.5431728] d= [0.1]
FAC | warm_start_active=False, vs_mean=163.5251, vl_pi= 0.6629765 beta_penalty= 16889.295 lambda_mean= [0.69283706] VC_mean= [0.5397015] d= [0.1]
FAC | warm_start_active=False, vs_mean=165.2325, vl_pi= 0.67800456 beta_penalty= 17340.137 lambda_mean= [0.69283706] VC_mean= [0.5382649] d= [0.1]
FAC | warm_start_active=False, vs_mean=164.0629, vl_pi= 0.6848062 beta_penalty= 17544.186 lambda_mean= [0.69283706] VC_mean= [0.5412428] d= [0.1]
FAC | warm_start_active=False, vs_mean=166.7917, vl_pi= 0.6478364 beta_penalty= 16435.092 lambda_mean= [0.69283706] VC_mean= [0.53594536] d= [0.1]
FAC | warm_start_active=False, vs_mean=177.1256, vl_pi= 0.65849113 beta_penalty= 16754.732 lambda_mean= [0.6927554] VC_mean= [0.5376854] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.7299, vl_pi= 0.6589914 beta_penalty= 16769.74 lambda_mean= [0.6927554] VC_mean= [0.5452864] d= [0.1]
FAC | warm_start_active=False, vs_mean=172.7059, vl_pi= 0.64905393 beta_penalty= 16471.617 lambda_mean= [0.6927554] VC_mean= [0.54405] d= [0.1]
FAC | warm_start_active=False, vs_mean=173.3370, vl_pi= 0.6482766 beta_penalty= 16448.299 lambda_mean= [0.6927554] VC_mean= [0.5429747] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.5731, vl_pi= 0.6432355 beta_penalty= 16297.064 lambda_mean= [0.6927554] VC_mean= [0.54546595] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.8675, vl_pi= 0.659836 beta_penalty= 16795.08 lambda_mean= [0.6927385] VC_mean= [0.54243934] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.9415, vl_pi= 0.65290195 beta_penalty= 16587.059 lambda_mean= [0.6927385] VC_mean= [0.54562396] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.8999, vl_pi= 0.6581065 beta_penalty= 16743.195 lambda_mean= [0.6927385] VC_mean= [0.54275] d= [0.1]
FAC | warm_start_active=False, vs_mean=182.4269, vl_pi= 0.6339466 beta_penalty= 16018.397 lambda_mean= [0.6927385] VC_mean= [0.53374624] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.3773, vl_pi= 0.6613493 beta_penalty= 16840.479 lambda_mean= [0.6927385] VC_mean= [0.54300666] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.7845, vl_pi= 0.68304735 beta_penalty= 17491.42 lambda_mean= [0.6926777] VC_mean= [0.54617447] d= [0.1]
FAC | warm_start_active=False, vs_mean=185.4200, vl_pi= 0.68769723 beta_penalty= 17630.916 lambda_mean= [0.6926777] VC_mean= [0.54734325] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.5603, vl_pi= 0.6843243 beta_penalty= 17529.729 lambda_mean= [0.6926777] VC_mean= [0.55274755] d= [0.1]
FAC | warm_start_active=False, vs_mean=193.9879, vl_pi= 0.67854655 beta_penalty= 17356.396 lambda_mean= [0.6926777] VC_mean= [0.55030864] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.0074, vl_pi= 0.6803148 beta_penalty= 17409.443 lambda_mean= [0.6926777] VC_mean= [0.5487173] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.1625, vl_pi= 0.6718101 beta_penalty= 17154.303 lambda_mean= [0.6925573] VC_mean= [0.56362563] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.7427, vl_pi= 0.6706987 beta_penalty= 17120.96 lambda_mean= [0.6925573] VC_mean= [0.5685463] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.1453, vl_pi= 0.672236 beta_penalty= 17167.08 lambda_mean= [0.6925573] VC_mean= [0.57036364] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.2829, vl_pi= 0.6547095 beta_penalty= 16641.285 lambda_mean= [0.6925573] VC_mean= [0.564927] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.8904, vl_pi= 0.65200096 beta_penalty= 16560.027 lambda_mean= [0.6925573] VC_mean= [0.5576312] d= [0.1]
FAC | warm_start_active=False, vs_mean=218.8846, vl_pi= 0.66281253 beta_penalty= 16884.375 lambda_mean= [0.6925107] VC_mean= [0.5598061] d= [0.1]
