Step,Penalty,Beta x Penalty,Reward Return/Lambda,Optimized
2088,0.000,0.000,7.639,Reward
2106,0.000,0.000,8.983,Reward
2117,0.000,0.000,5.804,Reward
2125,0.000,0.000,3.431,Reward
2156,0.000,0.000,14.510,Reward
2179,0.000,0.000,10.267,Reward
2192,0.000,0.000,6.728,Reward
2202,0.000,0.000,5.338,Reward
2211,0.000,0.000,4.869,Reward
2223,0.000,0.000,5.321,Reward
2237,0.000,0.000,7.185,Reward
2249,0.000,0.000,5.321,Reward
2260,0.000,0.000,4.853,Reward
2270,0.000,0.000,5.338,Reward
2288,0.000,0.000,8.063,Reward
2304,0.000,0.000,7.161,Reward
2321,0.000,0.000,7.614,Reward
2338,0.000,0.000,7.614,Reward
2356,0.000,0.000,8.063,Reward
2371,0.000,0.000,6.706,Reward
2386,0.000,0.000,6.706,Reward
2394,0.000,0.000,3.431,Reward
2411,0.000,0.000,7.614,Reward
2426,0.000,0.000,7.639,Reward
2442,0.000,0.000,7.161,Reward
2457,0.000,0.000,7.639,Reward
2468,0.000,0.000,4.853,Reward
2475,0.000,0.000,2.950,Reward
2489,0.000,0.000,6.247,Reward
2495,0.000,0.000,3.442,Reward
2502,0.000,0.000,2.950,Reward
2514,0.000,0.000,6.268,Reward
2528,0.000,0.000,7.185,Reward
2546,0.000,0.000,8.063,Reward
2556,0.000,0.000,4.382,Reward
2566,0.000,0.000,5.338,Reward
2580,0.000,0.000,6.247,Reward
2589,0.000,0.000,3.908,Reward
2622,0.000,0.000,14.464,Reward
2636,0.000,0.000,6.247,Reward
2646,0.000,0.000,4.382,Reward
2663,0.000,0.000,7.614,Reward
2697,0.000,0.000,15.720,Reward
2738,0.000,0.000,18.453,Reward
2759,0.000,0.000,9.394,Reward
2790,0.000,0.000,13.646,Reward
2803,0.000,0.000,5.785,Reward
2816,0.000,0.000,5.785,Reward
2843,0.000,0.000,11.979,Reward
2879,0.000,0.000,15.670,Reward
2887,0.000,0.000,4.397,Reward
2909,0.000,0.000,9.832,Reward
2920,0.000,0.000,4.853,Reward
2933,0.000,0.000,5.785,Reward
2950,0.000,0.000,7.614,Reward
2991,0.000,0.000,17.630,Reward
2999,0.000,0.000,4.397,Reward
3023,0.000,0.000,10.699,Reward
3053,0.000,0.000,13.233,Reward
3067,0.000,0.000,6.247,Reward
3085,0.000,0.000,8.063,Reward
3103,0.000,0.000,8.983,Reward
3121,0.000,0.000,8.063,Reward
3132,0.000,0.000,5.804,Reward
3175,0.000,0.000,18.396,Reward
3188,0.000,0.000,6.728,Reward
3223,0.000,0.000,16.118,Reward
3239,0.000,0.000,8.089,Reward
3253,0.000,0.000,6.247,Reward
3262,0.000,0.000,3.908,Reward
3273,0.000,0.000,4.853,Reward
3302,0.000,0.000,12.818,Reward
3315,0.000,0.000,5.785,Reward
3340,0.000,0.000,12.017,Reward
3357,0.000,0.000,8.538,Reward
3373,0.000,0.000,7.161,Reward
3403,0.000,0.000,14.101,Reward
3418,0.000,0.000,6.706,Reward
3427,0.000,0.000,4.869,Reward
3442,0.000,0.000,6.706,Reward
3449,0.000,0.000,3.921,Reward
3465,0.000,0.000,7.161,Reward
3491,0.000,0.000,12.440,Reward
3533,0.000,0.000,18.014,Reward
3552,0.000,0.000,8.510,Reward
3576,0.000,0.000,11.592,Reward
3604,0.000,0.000,12.400,Reward
3617,0.000,0.000,5.785,Reward
3633,0.000,0.000,7.161,Reward
3668,0.000,0.000,15.271,Reward
3688,0.000,0.000,8.953,Reward
3699,0.000,0.000,4.853,Reward
3729,0.000,0.000,13.233,Reward
3754,0.000,0.000,12.017,Reward
3761,0.000,0.000,2.950,Reward
3787,0.000,0.000,12.440,Reward
3807,0.000,0.000,8.953,Reward
3821,0.000,0.000,6.247,Reward
3868,0.000,0.000,20.700,Reward
3897,0.000,0.000,12.818,Reward
3922,0.000,0.000,11.129,Reward
3955,0.000,0.000,14.464,Reward
3966,0.000,0.000,4.853,Reward
4001,0.000,0.000,15.271,Reward
4020,0.000,0.000,8.510,Reward
4043,0.000,0.000,10.267,Reward
4069,0.000,0.000,11.555,Reward
4102,0.000,0.000,15.319,Reward
4114,0.000,0.000,6.268,Reward
4135,0.000,0.000,9.394,Reward
4145,0.000,0.000,4.382,Reward
4182,0.000,0.000,16.067,Reward
4215,0.000,0.000,15.319,Reward
4244,0.000,0.000,13.690,Reward
4280,0.000,0.000,16.514,Reward
4323,0.000,0.000,19.212,Reward
4350,0.000,0.000,11.979,Reward
4372,0.000,0.000,10.734,Reward
4400,0.000,0.000,13.276,Reward
4421,0.000,0.000,10.300,Reward
4433,0.000,0.000,5.321,Reward
4455,0.000,0.000,10.734,Reward
4467,0.000,0.000,6.268,Reward
4482,0.000,0.000,7.639,Reward
4503,0.000,0.000,9.394,Reward
4526,0.000,0.000,10.267,Reward
4550,0.000,0.000,10.699,Reward
4588,0.000,0.000,16.462,Reward
4616,0.000,0.000,12.400,Reward
4631,0.000,0.000,7.639,Reward
4639,0.000,0.000,3.431,Reward
4676,0.000,0.000,16.907,Reward
4689,0.000,0.000,5.785,Reward
4698,0.000,0.000,4.869,Reward
4740,0.000,0.000,18.014,Reward
4809,0.000,0.000,28.237,Reward
4817,0.000,0.000,4.397,Reward
4876,0.000,0.000,24.184,Reward
4892,0.000,0.000,7.161,Reward
4924,0.000,0.000,14.056,Reward
4950,0.000,0.000,12.440,Reward
4964,0.000,0.000,6.247,Reward
5008,0.000,0.000,18.775,Reward
5057,0.000,0.000,21.430,Reward
5112,0.000,0.000,22.792,Reward
5141,0.000,0.000,13.690,Reward
5190,0.000,0.000,20.636,Reward
5235,0.000,0.000,19.152,Reward
5282,0.000,0.000,19.899,Reward
5322,0.000,0.000,18.071,Reward
5372,0.000,0.000,21.791,Reward
5422,0.000,0.000,21.001,Reward
5491,0.000,0.000,27.513,Reward
5545,0.000,0.000,23.214,Reward
5605,0.000,0.000,24.526,Reward
5631,0.000,0.000,11.555,Reward
5679,0.000,0.000,20.269,Reward
5726,0.000,0.000,20.700,Reward
5747,0.000,0.000,9.394,Reward
5777,0.000,0.000,14.101,Reward
5803,0.000,0.000,11.555,Reward
5858,0.000,0.000,23.564,Reward
5891,0.000,0.000,15.319,Reward
5929,0.000,0.000,16.462,Reward
6000,0.000,0.000,28.872,Reward
6059,0.000,0.000,24.942,Reward
6105,0.000,0.000,19.527,Reward
6140,0.000,0.000,16.118,Reward
6185,0.000,0.000,19.961,Reward
6222,0.000,0.000,16.907,Reward
6310,0.000,0.000,33.290,Reward
6346,0.000,0.000,15.670,Reward
6363,0.000,0.000,8.538,Reward
6400,0.000,0.000,16.067,Reward
6416,0.000,0.000,7.161,Reward
6459,0.000,0.000,18.396,Reward
6500,0.000,0.000,17.630,Reward
6522,0.000,0.000,10.734,Reward
6644,0.000,0.000,42.084,Reward
6715,0.000,0.000,28.872,Reward
6802,0.000,0.000,33.672,Reward
6847,0.000,0.000,19.961,Reward
6875,0.000,0.000,13.276,Reward
6925,0.000,0.000,21.001,Reward
7029,0.000,0.000,37.655,Reward
7069,0.000,0.000,17.243,Reward
7095,0.000,0.000,12.440,Reward
7170,0.000,0.000,29.412,Reward
7200,0.000,0.000,13.233,Reward
7242,0.000,0.000,18.014,Reward
7289,0.000,0.000,19.899,Reward
7342,0.000,0.000,22.082,Reward
7386,0.000,0.000,18.775,Reward
7428,0.000,0.000,18.014,Reward
7469,0.000,0.000,17.630,Reward
7486,0.000,0.000,7.614,Reward
7531,0.000,0.000,19.961,Reward
7561,0.000,0.000,13.233,Reward
7582,0.000,0.000,9.394,Reward
7623,0.000,0.000,17.630,Reward
7653,0.000,0.000,13.233,Reward
7713,0.000,0.000,24.526,Reward
7740,0.000,0.000,12.859,Reward
7756,0.000,0.000,8.089,Reward
7814,0.000,0.000,24.601,Reward
7834,0.000,0.000,8.953,Reward
7866,0.000,0.000,14.056,Reward
7896,0.000,0.000,14.101,Reward
7913,0.000,0.000,8.538,Reward
7926,0.000,0.000,6.728,Reward
7974,0.000,0.000,20.269,Reward
8003,0.000,0.000,12.818,Reward
8063,0.000,0.000,24.526,Reward
8096,0.000,0.000,15.319,Reward
8131,0.000,0.000,15.271,Reward
8171,0.000,0.000,17.243,Reward
8203,0.000,0.000,14.916,Reward
8248,0.000,0.000,19.152,Reward
8334,0.000,0.000,32.713,Reward
8452,0.000,0.000,41.141,Reward
8494,0.000,0.000,18.014,Reward
8517,0.000,0.000,10.267,Reward
8575,0.000,0.000,24.601,Reward
8625,0.000,0.000,21.001,Reward
8662,0.000,0.000,16.067,Reward
8715,0.000,0.000,22.082,Reward
8734,0.000,0.000,9.425,Reward
8804,0.000,0.000,28.556,Reward
8817,0.000,0.000,5.785,Reward
8865,0.000,0.000,20.269,Reward
8939,0.000,0.000,29.100,Reward
8980,0.000,0.000,17.630,Reward
9035,0.000,0.000,23.564,Reward
9064,0.000,0.000,12.818,Reward
9108,0.000,0.000,19.588,Reward
9161,0.000,0.000,22.082,Reward
9201,0.000,0.000,18.071,Reward
9236,0.000,0.000,16.118,Reward
9262,0.000,0.000,12.440,Reward
9348,0.000,0.000,32.713,Reward
9402,0.000,0.000,22.438,Reward
9444,0.000,0.000,18.014,Reward
9499,0.000,0.000,22.792,Reward
9530,0.000,0.000,13.646,Reward
9590,0.000,0.000,24.526,Reward
9663,0.000,0.000,28.787,Reward
9709,0.000,0.000,20.332,Reward
9760,0.000,0.000,22.150,Reward
9792,0.000,0.000,14.056,Reward
9831,0.000,0.000,16.854,Reward
9891,0.000,0.000,25.281,Reward
9935,0.000,0.000,19.588,Reward
9994,0.000,0.000,24.184,Reward
10005,0.000,0.000,5.804,Reward
10056,0.000,0.000,21.364,Reward
10115,0.000,0.000,24.184,Reward
10165,0.000,0.000,21.791,Reward
10238,0.000,0.000,28.787,Reward
10279,0.000,0.000,17.630,Reward
10342,0.000,0.000,25.541,Reward
10369,0.000,0.000,11.979,Reward
10439,0.000,0.000,28.556,Reward
10480,0.000,0.000,17.630,Reward
10537,0.000,0.000,23.492,Reward
10599,0.000,0.000,25.953,Reward
10615,0.000,0.000,7.161,Reward
10701,0.000,0.000,32.713,Reward
10800,0.000,0.000,36.336,Reward
10894,0.000,0.000,34.977,Reward
10951,0.000,0.000,23.492,Reward
11008,0.000,0.000,23.492,Reward
11083,0.000,0.000,30.117,Reward
11144,0.000,0.000,24.866,Reward
11228,0.000,0.000,32.130,Reward
11276,0.000,0.000,21.066,Reward
11332,0.000,0.000,23.143,Reward
11408,0.000,0.000,29.721,Reward
11483,0.000,0.000,30.117,Reward
11541,0.000,0.000,23.839,Reward
11614,0.000,0.000,28.787,Reward
11673,0.000,0.000,24.184,Reward
11763,0.000,0.000,33.859,Reward
11811,0.000,0.000,20.269,Reward
11845,0.000,0.000,15.720,Reward
11931,0.000,0.000,33.386,Reward
12011,0.000,0.000,30.940,Reward
12058,0.000,0.000,19.899,Reward
12138,0.000,0.000,30.940,Reward
12226,0.000,0.000,33.290,Reward
12311,0.000,0.000,33.098,Reward
12389,0.000,0.000,30.335,Reward
12421,0.000,0.000,14.916,Reward
12492,0.000,0.000,28.154,Reward
12538,0.000,0.000,20.332,Reward
12668,0.000,0.000,43.904,Reward
12721,0.000,0.000,22.082,Reward
12780,0.000,0.000,24.184,Reward
12871,0.000,0.000,34.141,Reward
12894,0.000,0.000,10.267,Reward
12929,0.000,0.000,15.271,Reward
12998,0.000,0.000,27.513,Reward
13027,0.000,0.000,12.818,Reward
13105,0.000,0.000,30.335,Reward
13151,0.000,0.000,20.332,Reward
13244,0.000,0.000,35.353,Reward
13291,0.000,0.000,19.899,Reward
13335,0.000,0.000,19.588,Reward
13380,0.000,0.000,19.152,Reward
13441,0.000,0.000,25.618,Reward
13574,0.000,0.000,45.119,Reward
13662,0.000,0.000,33.290,Reward
13715,0.000,0.000,22.082,Reward
13762,0.000,0.000,19.899,Reward
13793,0.000,0.000,13.646,Reward
13875,0.000,0.000,31.539,Reward
13931,0.000,0.000,23.912,Reward
13986,0.000,0.000,22.792,Reward
14035,0.000,0.000,20.636,Reward
14120,0.000,0.000,32.422,Reward
14163,0.000,0.000,18.396,Reward
14250,0.000,0.000,33.672,Reward
14358,0.000,0.000,38.681,Reward
14450,0.000,0.000,34.422,Reward
14504,0.000,0.000,22.438,Reward
14562,0.000,0.000,23.839,Reward
14601,0.000,0.000,17.685,Reward
14658,0.000,0.000,24.257,Reward
14696,0.000,0.000,16.462,Reward
14786,0.000,0.000,34.521,Reward
14848,0.000,0.000,25.953,Reward
14898,0.000,0.000,21.791,Reward
14964,0.000,0.000,26.536,Reward
15025,0.000,0.000,25.618,Reward
15161,0.000,0.000,45.214,Reward
15247,0.000,0.000,32.713,Reward
15262,0.000,0.000,7.639,Reward
15309,0.000,0.000,20.700,Reward
15358,0.000,0.000,21.430,Reward
15416,0.000,0.000,23.839,Reward
15466,0.000,0.000,21.001,Reward
15536,0.000,0.000,27.834,Reward
15601,0.000,0.000,26.206,Reward
15627,0.000,0.000,11.555,Reward
15687,0.000,0.000,24.526,Reward
15777,0.000,0.000,33.859,Reward
15825,0.000,0.000,21.066,Reward
15950,0.000,0.000,43.349,Reward
15990,0.000,0.000,18.071,Reward
16036,0.000,0.000,19.527,Reward
16104,0.000,0.000,27.189,Reward
16202,0.000,0.000,36.707,Reward
16212,0.000,0.000,4.382,Reward
16302,0.000,0.000,34.521,Reward
16371,0.000,0.000,28.237,Reward
16476,0.000,0.000,38.534,Reward
16582,0.000,0.000,38.171,Reward
16627,0.000,0.000,19.152,Reward
16670,0.000,0.000,18.396,Reward
16837,0.000,0.000,51.785,Reward
16914,0.000,0.000,30.029,Reward
16988,0.000,0.000,29.809,Reward
17089,0.000,0.000,36.869,Reward
17160,0.000,0.000,28.154,Reward
17205,0.000,0.000,19.961,Reward
17296,0.000,0.000,34.141,Reward
17353,0.000,0.000,24.257,Reward
17439,0.000,0.000,32.713,Reward
17508,0.000,0.000,28.237,Reward
17589,0.000,0.000,31.928,Reward
17643,0.000,0.000,22.438,Reward
17658,0.000,0.000,7.639,Reward
17711,0.000,0.000,22.082,Reward
17776,0.000,0.000,26.206,Reward
17844,0.000,0.000,27.189,Reward
17890,0.000,0.000,19.527,Reward
17956,0.000,0.000,26.536,Reward
18018,0.000,0.000,25.953,Reward
18052,0.000,0.000,14.869,Reward
18188,0.000,0.000,45.214,Reward
18283,0.000,0.000,35.900,Reward
18353,0.000,0.000,27.834,Reward
18412,0.000,0.000,24.184,Reward
18451,0.000,0.000,17.685,Reward
18533,0.000,0.000,32.223,Reward
18595,0.000,0.000,25.953,Reward
18648,0.000,0.000,22.082,Reward
18707,0.000,0.000,24.184,Reward
